<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Isfahan.Steel,20200722,9470.00,9959.00,9310.00,9734.00,3802499372217,390653189,59012,D,9485.00,9900.00
S*Isfahan.Steel,20200721,9200.00,9692.00,8800.00,9485.00,6443120284773,679308030,84957,D,9231.00,9340.00
S*Isfahan.Steel,20200720,9232.00,9232.00,9000.00,9231.00,4076450751698,441622392,36210,D,8793.00,9232.00
S*Isfahan.Steel,20200719,8797.00,8799.00,8650.00,8793.00,2732380671623,310731413,26232,D,8380.00,8799.00
S*Isfahan.Steel,20200718,7950.00,8639.00,7950.00,8380.00,4508180174592,537961501,83776,D,8236.00,8582.00
S*Isfahan.Steel,20200715,8214.00,8450.00,8214.00,8236.00,2920377581981,354598230,50333,D,8646.00,8214.00
S*Isfahan.Steel,20200714,8750.00,9150.00,8506.00,8646.00,2545118177171,294356085,50880,D,8953.00,8506.00
S*Isfahan.Steel,20200713,9000.00,9160.00,8921.00,8953.00,2731387394475,305071696,48553,D,9390.00,8921.00
S*Isfahan.Steel,20200712,9380.00,9511.00,8900.00,9390.00,4815832488784,512884451,72832,D,9059.00,9099.00
S*Isfahan.Steel,20200711,9000.00,9450.00,8970.00,9059.00,1209594325387,133527944,19930,D,8861.00,9020.00
S*Isfahan.Steel,20200707,8999.00,9252.00,8540.00,8861.00,4329317384314,488557734,88607,D,8812.00,8691.00
S*Isfahan.Steel,20200706,8760.00,8837.00,8550.00,8812.00,3284387392338,372736804,46494,D,8417.00,8837.00
S*Isfahan.Steel,20200705,8200.00,8800.00,8092.00,8417.00,4070733989416,483622983,76084,D,8517.00,8550.00
S*Isfahan.Steel,20200704,8814.00,8814.00,8466.00,8517.00,3355978623492,394020884,66710,D,8911.00,8466.00
S*Isfahan.Steel,20200701,9130.00,9130.00,8300.00,8911.00,2611806611267,293102634,54291,D,8726.00,8790.00
S*Isfahan.Steel,20200630,8550.00,8748.00,8550.00,8726.00,1497198283136,171569941,26313,D,8332.00,8748.00
S*Isfahan.Steel,20200629,8290.00,8680.00,8280.00,8332.00,2838432576353,340668102,47958,D,8715.00,8286.00
S*Isfahan.Steel,20200628,9319.00,9319.00,8440.00,8715.00,3731197838904,428124031,62002,D,8884.00,8440.00
S*Isfahan.Steel,20200627,8830.00,8907.00,8700.00,8884.00,1950783269813,219571807,27751,D,8483.00,8907.00
S*Isfahan.Steel,20200624,7930.00,8709.00,7930.00,8483.00,2389521622537,281688488,37531,D,8304.00,8698.00
S*Isfahan.Steel,20200623,8378.00,8379.00,8037.00,8304.00,2060124466748,248086012,32418,D,7980.00,8042.00
S*Isfahan.Steel,20200622,7830.00,8022.00,7700.00,7980.00,1377784430508,172662421,23792,D,7640.00,8022.00
S*Isfahan.Steel,20200621,7700.00,7791.00,7350.00,7640.00,2123263257191,277904218,43801,D,7420.00,7790.00
S*Isfahan.Steel,20200620,7430.00,7461.00,7250.00,7420.00,1825802504428,246074071,32529,D,7106.00,7461.00
S*Isfahan.Steel,20200616,6850.00,7290.00,6700.00,7106.00,2558838292531,360101976,40148,D,6945.00,7245.00
S*Isfahan.Steel,20200615,7012.00,7212.00,6784.00,6945.00,2153943549518,310156343,43723,D,7065.00,6850.00
S*Isfahan.Steel,20200614,7190.00,7390.00,6971.00,7065.00,2213521702088,313328227,37522,D,7337.00,7019.00
S*Isfahan.Steel,20200613,7310.00,7556.00,7179.00,7337.00,2405735641563,327905633,47763,D,7197.00,7250.00
S*Isfahan.Steel,20200610,7007.00,7211.00,6889.00,7197.00,2338842059403,324978362,27750,D,6868.00,7211.00
S*Isfahan.Steel,20200609,6850.00,7109.00,6575.00,6868.00,1867122101241,271875069,31073,D,6813.00,6871.00
S*Isfahan.Steel,20200608,6847.00,6847.00,6548.00,6813.00,3782019784299,555104133,35098,D,6521.00,6736.00
S*Isfahan.Steel,20200607,6521.00,6521.00,6450.00,6521.00,691436854557,106036062,6898,D,6211.00,6521.00
S*Isfahan.Steel,20200606,6198.00,6239.00,6100.00,6211.00,843582005154,135813606,12560,D,5942.00,6239.00
S*Isfahan.Steel,20200602,5794.00,5970.00,5730.00,5942.00,1209275495975,203524183,15429,D,5686.00,5970.00
S*Isfahan.Steel,20200601,5550.00,5850.00,5401.00,5686.00,1237403716644,217632284,19113,D,5579.00,5668.00
S*Isfahan.Steel,20200531,5869.00,5869.00,5346.00,5579.00,1654519269446,296576663,27734,D,5627.00,5512.00
S*Isfahan.Steel,20200530,5632.00,5632.00,5533.00,5627.00,443610642932,78834060,7867,D,5364.00,5632.00
S*Isfahan.Steel,20200527,5189.00,5630.00,5189.00,5364.00,2455498309853,457796535,34867,D,5462.00,5500.00
S*Isfahan.Steel,20200526,5430.00,5662.00,5428.00,5462.00,849884038568,155613030,13295,D,5713.00,5428.00
S*Isfahan.Steel,20200523,5698.00,5896.00,5698.00,5713.00,1831005884560,320475784,26361,D,5997.00,5698.00
S*Isfahan.Steel,20200520,6250.00,6329.00,5925.00,5997.00,2401088634847,400394780,32885,D,6236.00,5925.00
S*Isfahan.Steel,20200519,6200.00,6256.00,6051.00,6236.00,4171948731976,669001243,35865,D,5959.00,6255.00
S*Isfahan.Steel,20200518,5976.00,5976.00,5750.00,5959.00,2907175971932,487877576,22636,D,5692.00,5976.00
S*Isfahan.Steel,20200517,5651.00,5900.00,5651.00,5692.00,3046745630307,535270183,36360,D,5948.00,5750.00
S*Isfahan.Steel,20200516,6170.00,6180.00,5830.00,5948.00,914801451430,153801337,16671,D,6136.00,5830.00
S*Isfahan.Steel,20200513,6090.00,6200.00,5900.00,6136.00,4441627127016,723885986,45102,D,5905.00,6100.00
S*Isfahan.Steel,20200512,6275.00,6275.00,5679.00,5905.00,6206415930510,1051056001,69912,D,5977.00,5900.00
S*Isfahan.Steel,20200511,5977.00,5977.00,5977.00,5977.00,284641224566,47622758,2071,D,5693.00,5977.00
S*Isfahan.Steel,20200510,5693.00,5693.00,5693.00,5693.00,251797968507,44229399,1816,D,5422.00,5693.00
S*Isfahan.Steel,20200509,5462.00,5462.00,5462.00,5422.00,106464703180,19491890,1504,D,5202.00,5462.00
S*Isfahan.Steel,20200506,4982.00,5231.00,4970.00,5202.00,2170164881001,417167716,15100,D,4982.00,5231.00
S*Isfahan.Steel,20200505,4796.00,5035.00,4700.00,4982.00,2214080777753,444418928,19759,D,5045.00,4950.00
S*Isfahan.Steel,20200502,5075.00,5075.00,5075.00,5045.00,109315667475,21540033,1211,D,4834.00,5075.00
S*Isfahan.Steel,20200429,4834.00,4834.00,4834.00,4834.00,177513877296,36721944,1882,D,4604.00,4834.00
S*Isfahan.Steel,20200428,4608.00,4608.00,4550.00,4604.00,765190407338,166200246,9411,D,4389.00,4608.00
S*Isfahan.Steel,20200427,4392.00,4394.00,4294.00,4389.00,1752770426373,399385609,20961,D,4185.00,4394.00
S*Isfahan.Steel,20200426,4210.00,4210.00,4021.00,4185.00,2132980623483,509662925,21336,D,4010.00,4210.00
S*Isfahan.Steel,20200425,3956.00,4029.00,3912.00,4010.00,761488110840,189910618,12114,D,3838.00,4029.00
S*Isfahan.Steel,20200422,3822.00,3939.00,3752.00,3838.00,1250769403579,325913621,27394,D,3865.00,3848.00
S*Isfahan.Steel,20200421,3900.00,3977.00,3800.00,3865.00,1158298342307,299687979,24941,D,3885.00,3820.00
S*Isfahan.Steel,20200420,3749.00,3954.00,3705.00,3885.00,1068623562617,275047091,20830,D,3810.00,3900.00
S*Isfahan.Steel,20200419,3865.00,3865.00,3616.00,3810.00,1735433374487,455486117,33302,D,3681.00,3676.00
S*Isfahan.Steel,20200418,3667.00,3686.00,3667.00,3681.00,334741978117,90940404,5945,D,3511.00,3686.00
S*Isfahan.Steel,20200415,3400.00,3550.00,3400.00,3511.00,1083213573646,308555144,22999,D,3381.00,3550.00
S*Isfahan.Steel,20200414,3390.00,3465.00,3338.00,3381.00,893325604600,264229699,25495,D,3513.00,3350.00
S*Isfahan.Steel,20200413,3559.00,3630.00,3429.00,3513.00,782828294293,222856495,17225,D,3492.00,3460.00
S*Isfahan.Steel,20200412,3370.00,3531.00,3300.00,3492.00,1679356576314,480966499,29864,D,3363.00,3531.00
S*Isfahan.Steel,20200411,3351.00,3469.00,3298.00,3363.00,1249214931270,371448824,30303,D,3471.00,3330.00
S*Isfahan.Steel,20200408,3535.00,3538.00,3370.00,3471.00,1265328151795,364571900,26736,D,3370.00,3401.00
S*Isfahan.Steel,20200407,3363.00,3387.00,3281.00,3370.00,588275087004,174547526,10009,D,3226.00,3387.00
S*Isfahan.Steel,20200406,3200.00,3258.00,3100.00,3226.00,1045561528551,324090369,22233,D,3103.00,3258.00
S*Isfahan.Steel,20200405,3120.00,3139.00,3020.00,3103.00,1061602863876,342147163,24597,D,2990.00,3139.00
S*Isfahan.Steel,20200404,2980.00,3000.00,2916.00,2990.00,587279353139,196415954,12188,D,2858.00,3000.00
S*Isfahan.Steel,20200330,2831.00,2935.00,2761.00,2858.00,781877324354,273617729,21910,D,2849.00,2895.00
S*Isfahan.Steel,20200329,2850.00,2892.00,2760.00,2849.00,905895747263,317918782,29495,D,2755.00,2810.00
S*Isfahan.Steel,20200328,2727.00,2799.00,2673.00,2755.00,757155502726,274807499,22043,D,2666.00,2799.00
S*Isfahan.Steel,20200325,2611.00,2703.00,2600.00,2666.00,569426083670,213584985,19864,D,2593.00,2685.00
S*Isfahan.Steel,20200324,2700.00,2749.00,2553.00,2593.00,545891694600,210506642,19947,D,2687.00,2599.00
S*Isfahan.Steel,20200318,2668.00,2727.00,2620.00,2687.00,433901116767,161483193,15929,D,2649.00,2698.00
S*Isfahan.Steel,20200317,2748.00,2748.00,2590.00,2649.00,355924996643,134341200,15036,D,2715.00,2665.00
S*Isfahan.Steel,20200316,2720.00,2720.00,2667.00,2715.00,495193567198,182370576,12566,D,2591.00,2720.00
S*Isfahan.Steel,20200315,2541.00,2670.00,2537.00,2591.00,415072152854,160211629,13539,D,2602.00,2670.00
S*Isfahan.Steel,20200314,2716.00,2716.00,2581.00,2602.00,241446248531,92784488,9996,D,2716.00,2581.00
S*Isfahan.Steel,20200311,2700.00,2734.00,2660.00,2716.00,560483159706,206359592,19978,D,2604.00,2709.00
S*Isfahan.Steel,20200310,2587.00,2670.00,2585.00,2604.00,856080488313,328737015,25540,D,2721.00,2585.00
S*Isfahan.Steel,20200309,2741.00,2785.00,2707.00,2721.00,228389799375,83921328,9669,D,2849.00,2707.00
S*Isfahan.Steel,20200307,2871.00,2900.00,2826.00,2849.00,678444731890,238141507,24172,D,2974.00,2826.00
S*Isfahan.Steel,20200304,2985.00,3044.00,2924.00,2974.00,959818016792,322708272,27700,D,2964.00,2942.00
S*Isfahan.Steel,20200303,2990.00,3030.00,2935.00,2964.00,721231156833,243324201,22685,D,2908.00,2950.00
S*Isfahan.Steel,20200302,2867.00,2977.00,2821.00,2908.00,886802025123,304994827,25473,D,2839.00,2949.00
S*Isfahan.Steel,20200301,2820.00,2897.00,2805.00,2839.00,892259369977,314273135,27706,D,2831.00,2825.00
S*Isfahan.Steel,20200229,2829.00,2861.00,2827.00,2831.00,805679768889,284565241,22786,D,2975.00,2827.00
S*Isfahan.Steel,20200226,3095.00,3095.00,2890.00,2975.00,1369133834225,460223419,43309,D,3039.00,2930.00
S*Isfahan.Steel,20200225,3010.00,3098.00,2961.00,3039.00,1144643030351,376621991,31914,D,3023.00,3050.00
S*Isfahan.Steel,20200224,3149.00,3149.00,2948.00,3023.00,1240396220938,410316246,35948,D,3055.00,3001.00
S*Isfahan.Steel,20200223,3050.00,3190.00,2999.00,3055.00,1369253048088,448153834,34078,D,2771.00,3077.00
S*Isfahan.Steel,20200222,2699.00,2870.00,2699.00,2771.00,871305758455,314461458,23596,D,2841.00,2784.00
S*Isfahan.Steel,20200219,2850.00,2920.00,2801.00,2841.00,573237561854,201739366,19020,D,2852.00,2816.00
S*Isfahan.Steel,20200218,2903.00,2940.00,2802.00,2852.00,630846426105,221208475,19332,D,2949.00,2834.00
S*Isfahan.Steel,20200217,3000.00,3027.00,2859.00,2949.00,931135608840,315788040,23136,D,2891.00,2900.00
S*Isfahan.Steel,20200216,2811.00,2969.00,2748.00,2891.00,1524354674209,527283188,30319,D,2828.00,2969.00
S*Isfahan.Steel,20200215,2940.00,2959.00,2725.00,2828.00,837012616686,295973880,22226,D,2844.00,2790.00
S*Isfahan.Steel,20200212,2751.00,2861.00,2710.00,2844.00,1211850335659,426170755,21739,D,2725.00,2861.00
S*Isfahan.Steel,20200210,2849.00,2850.00,2707.00,2725.00,1240081187886,455104453,25333,D,2849.00,2707.00
S*Isfahan.Steel,20200209,2879.00,2965.00,2759.00,2849.00,1951143904082,684969874,44672,D,2898.00,2800.00
S*Isfahan.Steel,20200208,2914.00,2914.00,2800.00,2898.00,2494459297625,860689697,46081,D,2776.00,2900.00
S*Isfahan.Steel,20200205,2730.00,2796.00,2690.00,2776.00,606971598793,218669647,10637,D,2663.00,2796.00
