<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Parsian.Oil&Gas,20200722,35300.00,35770.00,34510.00,34690.00,2579536539420,74369159,13340,D,36320.00,34510.00
S*Parsian.Oil&Gas,20200721,36290.00,37480.00,36290.00,36320.00,2874890687850,79147092,12315,D,38200.00,36290.00
S*Parsian.Oil&Gas,20200720,38450.00,38860.00,35800.00,38200.00,3803916125790,99591091,26813,D,37010.00,36000.00
S*Parsian.Oil&Gas,20200719,34840.00,38500.00,34840.00,37010.00,5681127946500,153502434,24287,D,36670.00,38500.00
S*Parsian.Oil&Gas,20200718,36670.00,36670.00,36670.00,36670.00,125290865710,3416713,2099,D,38600.00,36670.00
S*Parsian.Oil&Gas,20200715,38600.00,38600.00,38600.00,38600.00,577855239800,14970343,4417,D,40630.00,38600.00
S*Parsian.Oil&Gas,20200714,40800.00,41610.00,37900.00,40630.00,7587513991330,186745140,44370,D,39630.00,38040.00
S*Parsian.Oil&Gas,20200713,39690.00,39690.00,36220.00,39630.00,7841681218380,197847538,16422,D,37800.00,39690.00
S*Parsian.Oil&Gas,20200712,37800.00,37800.00,37800.00,37800.00,358773823800,9491371,405,D,36000.00,37800.00
S*Parsian.Oil&Gas,20200708,36000.00,36000.00,36000.00,36000.00,190600956000,5294471,125,D,34290.00,36000.00
S*Parsian.Oil&Gas,20200707,34290.00,34290.00,34290.00,34290.00,479545547130,13984997,543,D,32660.00,34290.00
S*Parsian.Oil&Gas,20200706,32660.00,32660.00,32660.00,32660.00,413786849800,12669530,473,D,31110.00,32660.00
S*Parsian.Oil&Gas,20200705,31110.00,31110.00,31110.00,31110.00,280460383200,9015120,414,D,29630.00,31110.00
S*Parsian.Oil&Gas,20200704,29630.00,29630.00,29630.00,29630.00,393245271060,13271862,700,D,28220.00,29630.00
S*Parsian.Oil&Gas,20200701,28220.00,28220.00,28220.00,28220.00,194419658160,6889428,553,D,26880.00,28220.00
S*Parsian.Oil&Gas,20200630,28070.00,28070.00,28070.00,26880.00,14904355970,530971,311,D,26740.00,28070.00
S*Parsian.Oil&Gas,20200629,26740.00,26740.00,26740.00,26740.00,352193930480,13171052,733,D,25470.00,26740.00
S*Parsian.Oil&Gas,20200628,25470.00,25470.00,25470.00,25470.00,445625463240,17496092,814,D,24260.00,25470.00
S*Parsian.Oil&Gas,20200627,25170.00,25170.00,25170.00,24260.00,29979131220,1191066,276,D,23980.00,25170.00
S*Parsian.Oil&Gas,20200624,24330.00,24330.00,24330.00,23980.00,90555043500,3721950,353,D,23180.00,24330.00
S*Parsian.Oil&Gas,20200623,23540.00,23540.00,23540.00,23180.00,85178313000,3618450,412,D,22420.00,23540.00
