<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Rayan.Saipa,20200722,8410.00,8800.00,8340.00,8390.00,995230805180,118639393,16352,D,8770.00,8410.00
S*Rayan.Saipa,20200721,9170.00,9170.00,8720.00,8770.00,1238074306870,141187239,21176,D,9170.00,8720.00
S*Rayan.Saipa,20200720,9000.00,9320.00,8850.00,9170.00,1702816817330,185628868,27636,D,8880.00,8950.00
S*Rayan.Saipa,20200719,9350.00,9350.00,8520.00,8880.00,2318575429210,261151839,37460,D,8960.00,8670.00
S*Rayan.Saipa,20200718,8660.00,9450.00,8660.00,8960.00,2789760134570,311200476,40800,D,9110.00,9230.00
S*Rayan.Saipa,20200715,9110.00,9110.00,9110.00,9110.00,113582414130,12467883,2843,D,9580.00,9110.00
S*Rayan.Saipa,20200714,9580.00,9580.00,9580.00,9580.00,90080107720,9402934,2724,D,10080.00,9580.00
S*Rayan.Saipa,20200713,10080.00,10080.00,10080.00,10080.00,194899914720,19335309,4585,D,10610.00,10080.00
S*Rayan.Saipa,20200712,10800.00,10840.00,9870.00,10610.00,2074368775520,195586801,31301,D,10330.00,10050.00
S*Rayan.Saipa,20200711,10190.00,10690.00,10190.00,10330.00,247990597940,24001219,3145,D,9710.00,10390.00
S*Rayan.Saipa,20200706,9740.00,9740.00,9560.00,9740.00,1513336233140,155394253,16269,D,9280.00,9740.00
S*Rayan.Saipa,20200705,9300.00,9330.00,9110.00,9280.00,759747251950,81892165,8347,D,8890.00,9330.00
S*Rayan.Saipa,20200704,9060.00,9060.00,8210.00,8890.00,2609773467150,293547677,30502,D,8630.00,9060.00
S*Rayan.Saipa,20200701,8620.00,8650.00,8450.00,8630.00,803750297970,93093492,8216,D,8240.00,8650.00
S*Rayan.Saipa,20200630,8100.00,8260.00,8010.00,8240.00,853952805300,103643306,12922,D,7870.00,8260.00
S*Rayan.Saipa,20200629,7850.00,8090.00,7850.00,7870.00,1221320575560,155215486,17269,D,8260.00,7980.00
S*Rayan.Saipa,20200628,8800.00,8800.00,8160.00,8260.00,1151483660320,139347962,17447,D,8580.00,8160.00
S*Rayan.Saipa,20200627,8340.00,8660.00,8310.00,8580.00,900385178030,104931763,13675,D,8250.00,8560.00
S*Rayan.Saipa,20200624,8190.00,8480.00,8190.00,8250.00,997134052190,120861484,14806,D,8620.00,8190.00
S*Rayan.Saipa,20200623,8780.00,8780.00,8100.00,8620.00,894749955110,103774105,13812,D,8370.00,8150.00
S*Rayan.Saipa,20200622,8360.00,8400.00,8060.00,8370.00,504823040790,60346419,6853,D,8000.00,8400.00
S*Rayan.Saipa,20200621,7990.00,8260.00,7600.00,8000.00,1163789190550,145561635,20043,D,7870.00,8260.00
S*Rayan.Saipa,20200620,7800.00,7900.00,7530.00,7870.00,706317267900,89706576,12522,D,7530.00,7900.00
S*Rayan.Saipa,20200616,7400.00,7670.00,7200.00,7530.00,951954137930,126400886,17138,D,7310.00,7670.00
S*Rayan.Saipa,20200615,7260.00,7600.00,7120.00,7310.00,734699092340,100497499,14054,D,7300.00,7230.00
S*Rayan.Saipa,20200614,7800.00,7800.00,7200.00,7300.00,872705674130,119569691,14766,D,7570.00,7250.00
S*Rayan.Saipa,20200613,7500.00,7600.00,7300.00,7570.00,507153237620,66991575,8224,D,7240.00,7600.00
S*Rayan.Saipa,20200610,7154.00,7355.00,7055.00,7240.00,555199206158,76688366,11206,D,7009.00,7255.00
S*Rayan.Saipa,20200609,7185.00,7350.00,6761.00,7009.00,466861187392,66609679,10251,D,7108.00,6981.00
S*Rayan.Saipa,20200608,7450.00,7450.00,6742.00,7108.00,650091682314,91461289,14323,D,7096.00,6900.00
S*Rayan.Saipa,20200607,7101.00,7101.00,6950.00,7096.00,325679682952,45897215,5697,D,6763.00,7000.00
S*Rayan.Saipa,20200606,6770.00,6770.00,6600.00,6763.00,229367791427,33915241,4515,D,6448.00,6770.00
S*Rayan.Saipa,20200602,6300.00,6483.00,6183.00,6448.00,629300219789,97599486,10660,D,6175.00,6483.00
S*Rayan.Saipa,20200601,6203.00,6500.00,6001.00,6175.00,414301398902,67092759,9407,D,6280.00,6115.00
S*Rayan.Saipa,20200531,6799.00,6799.00,6157.00,6280.00,657538719965,104697628,11446,D,6481.00,6157.00
S*Rayan.Saipa,20200530,6489.00,6493.00,6299.00,6481.00,349151916594,53871807,6389,D,6184.00,6493.00
S*Rayan.Saipa,20200527,6120.00,6497.00,6120.00,6184.00,862411276777,139469448,16799,D,6442.00,6200.00
S*Rayan.Saipa,20200526,6377.00,6712.00,6377.00,6442.00,36423255820,5711660,859,D,6707.00,6377.00
S*Rayan.Saipa,20200523,6712.00,6712.00,6712.00,6712.00,142630234920,21250035,2807,D,7065.00,6712.00
S*Rayan.Saipa,20200520,7100.00,7397.00,7000.00,7065.00,354008194398,50106379,6931,D,7368.00,7000.00
S*Rayan.Saipa,20200519,7500.00,7700.00,7100.00,7368.00,852721070709,115731630,17557,D,7443.00,7180.00
S*Rayan.Saipa,20200518,7405.00,7655.00,7000.00,7443.00,884776727710,118871407,16632,D,7291.00,7400.00
S*Rayan.Saipa,20200517,7280.00,7450.00,7280.00,7291.00,562686194164,77175469,7973,D,7663.00,7280.00
S*Rayan.Saipa,20200516,7781.00,7988.00,7606.00,7663.00,204808459576,26726558,3641,D,8006.00,7606.00
S*Rayan.Saipa,20200513,7640.00,8398.00,7601.00,8006.00,1412172752522,176396932,21930,D,7999.00,7781.00
S*Rayan.Saipa,20200512,8501.00,8501.00,7693.00,7999.00,1902258857668,237805259,21621,D,8097.00,7693.00
S*Rayan.Saipa,20200511,8097.00,8097.00,8097.00,8097.00,446251110774,55113142,5246,D,7712.00,8097.00
S*Rayan.Saipa,20200510,7712.00,7712.00,7712.00,7712.00,627333827648,81345154,6792,D,7345.00,7712.00
S*Rayan.Saipa,20200509,7344.00,7345.00,7281.00,7345.00,500579431996,68155907,6116,D,6996.00,7345.00
S*Rayan.Saipa,20200506,6830.00,7348.00,6728.00,6996.00,1268308986465,181292674,22601,D,7082.00,7160.00
S*Rayan.Saipa,20200505,7321.00,7684.00,6955.00,7082.00,1196281775445,168909892,16339,D,6973.00,6955.00
S*Rayan.Saipa,20200429,6795.00,7155.00,6500.00,6973.00,1275856719729,182971845,27155,D,6818.00,7095.00
S*Rayan.Saipa,20200428,6900.00,6937.00,6432.00,6818.00,1123865440971,164846936,21487,D,6607.00,6698.00
S*Rayan.Saipa,20200427,6450.00,6668.00,6200.00,6607.00,1040547254346,157492908,15227,D,6351.00,6668.00
S*Rayan.Saipa,20200426,6426.00,6426.00,6000.00,6351.00,1200872468116,189080215,18299,D,6120.00,6426.00
S*Rayan.Saipa,20200425,6120.00,6120.00,6120.00,6120.00,139548680640,22802072,2471,D,5829.00,6120.00
S*Rayan.Saipa,20200422,5840.00,5840.00,5700.00,5829.00,417645897582,71645906,7294,D,5562.00,5840.00
S*Rayan.Saipa,20200421,5573.00,5573.00,5368.00,5562.00,551987163460,99234108,8862,D,5308.00,5573.00
S*Rayan.Saipa,20200420,5120.00,5360.00,5080.00,5308.00,424746867426,80022343,6214,D,5105.00,5360.00
S*Rayan.Saipa,20200419,5146.00,5146.00,4980.00,5105.00,866788246625,169797544,12790,D,4901.00,5000.00
S*Rayan.Saipa,20200418,4901.00,4901.00,4901.00,4901.00,370238747411,75543511,3591,D,4668.00,4901.00
S*Rayan.Saipa,20200415,4500.00,4672.00,4500.00,4668.00,731287399141,156671868,8238,D,4450.00,4672.00
S*Rayan.Saipa,20200414,4367.00,4587.00,4367.00,4450.00,278181779182,62505857,8819,D,4596.00,4452.00
S*Rayan.Saipa,20200413,4807.00,4807.00,4518.00,4596.00,324629031723,70637782,8315,D,4755.00,4540.00
S*Rayan.Saipa,20200412,4695.00,4820.00,4500.00,4755.00,390911102205,82205853,9278,D,4591.00,4710.00
S*Rayan.Saipa,20200411,4623.00,4789.00,4556.00,4591.00,485243698452,105701906,12859,D,4795.00,4580.00
S*Rayan.Saipa,20200408,4760.00,4963.00,4651.00,4795.00,511232522474,106611588,12606,D,4858.00,4687.00
S*Rayan.Saipa,20200407,4860.00,5015.00,4760.00,4858.00,393778395825,81064672,11055,D,4806.00,4800.00
S*Rayan.Saipa,20200406,4929.00,4979.00,4623.00,4806.00,509557082831,106023830,13033,D,4866.00,4790.00
S*Rayan.Saipa,20200405,4872.00,4872.00,4782.00,4866.00,512144602132,105241863,9120,D,4640.00,4872.00
S*Rayan.Saipa,20200404,4645.00,4645.00,4599.00,4640.00,150207529546,32370175,2783,D,4424.00,4645.00
S*Rayan.Saipa,20200330,4390.00,4585.00,4248.00,4424.00,499897278023,112988510,13337,D,4471.00,4558.00
S*Rayan.Saipa,20200329,4641.00,4641.00,4267.00,4471.00,802366156697,179458169,22134,D,4420.00,4380.00
S*Rayan.Saipa,20200328,4420.00,4420.00,4420.00,4420.00,104453453260,23632003,2236,D,4210.00,4420.00
