<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Zagros.Petro.,20200722,183401.00,193000.00,179598.00,182711.00,406998268054,2227554,3001,D,189050.00,185030.00
S*Zagros.Petro.,20200721,193000.00,200500.00,183390.00,189050.00,473624638907,2505291,3844,D,193042.00,184000.00
S*Zagros.Petro.,20200720,191000.00,193248.00,188370.00,193042.00,880820109687,4562836,4025,D,184046.00,193247.00
S*Zagros.Petro.,20200719,183900.00,185126.00,180000.00,184046.00,661429425624,3593825,3757,D,176311.00,185126.00
S*Zagros.Petro.,20200718,173900.00,183400.00,165958.00,176311.00,471933914769,2676717,4971,D,174692.00,178000.00
S*Zagros.Petro.,20200715,174668.00,175900.00,174668.00,174692.00,723425378120,4141141,3358,D,183861.00,174668.00
S*Zagros.Petro.,20200714,191000.00,194000.00,181484.00,183861.00,585962391715,3186994,3002,D,191035.00,181484.00
S*Zagros.Petro.,20200713,190744.00,195000.00,190744.00,191035.00,367261772387,1922483,2925,D,200783.00,190744.00
S*Zagros.Petro.,20200712,193770.00,202993.00,184000.00,200783.00,909280972676,4528679,4725,D,193327.00,191999.00
S*Zagros.Petro.,20200711,192552.00,200000.00,192552.00,193327.00,477406295003,2469427,3287,D,202686.00,195200.00
S*Zagros.Petro.,20200708,217350.00,217350.00,197400.00,202686.00,691549747707,3411924,5346,D,207789.00,197400.00
S*Zagros.Petro.,20200707,208800.00,209930.00,197300.00,207789.00,557015519004,2680680,4913,D,199934.00,209930.00
S*Zagros.Petro.,20200706,199900.00,200007.00,193000.00,199934.00,537712393366,2689455,2345,D,190483.00,200007.00
S*Zagros.Petro.,20200705,180000.00,192425.00,176650.00,190483.00,756470819070,3971323,3982,D,183262.00,192425.00
S*Zagros.Petro.,20200704,189281.00,189281.00,171255.00,183262.00,654408814379,3570897,5902,D,180268.00,176650.00
S*Zagros.Petro.,20200701,180883.00,180883.00,176000.00,180268.00,575511881429,3192527,2639,D,172270.00,180883.00
