<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Saderat.Bank,20200722,4660.00,4660.00,4460.00,4610.00,2028664747000,439677148,19331,D,4360.00,4580.00
Saderat.Bank,20200719,4130.00,4430.00,4100.00,4360.00,8614433117010,1975953712,74179,D,4220.00,4430.00
Saderat.Bank,20200718,4220.00,4220.00,4220.00,4220.00,1720847830120,407783846,45913,D,4440.00,4220.00
Saderat.Bank,20200715,4460.00,4460.00,4280.00,4440.00,7375957060280,1659924422,58081,D,4250.00,4420.00
Saderat.Bank,20200713,4250.00,4280.00,4070.00,4250.00,6444239548480,1516250752,51035,D,4080.00,4280.00
Saderat.Bank,20200712,4080.00,4080.00,4080.00,4080.00,4944005365680,1211766021,38431,D,3890.00,4080.00
Saderat.Bank,20200711,3710.00,4010.00,3630.00,3890.00,5525201039610,1419793734,52526,D,3820.00,4010.00
Saderat.Bank,20200708,3870.00,3870.00,3510.00,3820.00,10495253907820,2744806691,108099,D,3690.00,3650.00
Saderat.Bank,20200707,3690.00,3690.00,3690.00,3690.00,4271766167520,1157660208,24945,D,3520.00,3690.00
Saderat.Bank,20200706,3520.00,3520.00,3520.00,3520.00,221773865280,63003939,2202,D,3360.00,3520.00
Saderat.Bank,20200705,3360.00,3430.00,3110.00,3360.00,2664821928280,792138333,32882,D,3270.00,3430.00
Saderat.Bank,20200704,3300.00,3300.00,3000.00,3270.00,6759683680040,2069452693,59127,D,3150.00,3270.00
Saderat.Bank,20200701,3150.00,3150.00,3150.00,3150.00,4349883916350,1380915529,22034,D,3000.00,3150.00
Saderat.Bank,20200630,3000.00,3000.00,3000.00,3000.00,1400305227000,466768409,4887,D,2860.00,3000.00
Saderat.Bank,20200629,2840.00,2880.00,2750.00,2860.00,2386120527760,834144957,18948,D,2750.00,2880.00
Saderat.Bank,20200628,2750.00,2750.00,2680.00,2750.00,2863609418930,1041554560,13398,D,2620.00,2750.00
