<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Saman-E-Kish,20200722,40280.00,41500.00,40280.00,40290.00,114952243770,2853040,2064,D,42390.00,40280.00
Saman-E-Kish,20200721,43520.00,43520.00,42300.00,42390.00,274150937660,6467136,3832,D,44520.00,42300.00
Saman-E-Kish,20200720,45450.00,46550.00,42400.00,44520.00,241663813630,5428255,5516,D,44630.00,43150.00
Saman-E-Kish,20200719,47900.00,47900.00,44050.00,44630.00,426748349430,9562034,7607,D,46360.00,44050.00
Saman-E-Kish,20200718,45780.00,46500.00,42080.00,46360.00,385137967500,8308358,5532,D,44290.00,46220.00
Saman-E-Kish,20200715,44180.00,46000.00,44180.00,44290.00,537769105280,12143249,5968,D,46500.00,44180.00
Saman-E-Kish,20200714,46440.00,47630.00,46440.00,46500.00,291146206560,6261709,3277,D,48880.00,46440.00
Saman-E-Kish,20200713,48880.00,53640.00,48540.00,48880.00,74176426480,1517521,1156,D,51450.00,48880.00
Saman-E-Kish,20200712,51110.00,53640.00,48540.00,51450.00,777797750920,15117617,9360,D,51090.00,48540.00
Saman-E-Kish,20200711,51090.00,51090.00,51090.00,51090.00,137514610350,2691615,940,D,53770.00,51090.00
Saman-E-Kish,20200708,57000.00,57000.00,52990.00,53770.00,277451283930,5160320,3958,D,55770.00,52990.00
Saman-E-Kish,20200707,56010.00,56010.00,53590.00,55770.00,1033258825190,18527385,7386,D,53350.00,56010.00
Saman-E-Kish,20200706,53350.00,53350.00,53350.00,53350.00,326186861550,6114093,675,D,50810.00,53350.00
Saman-E-Kish,20200705,49320.00,51780.00,46860.00,50810.00,843088374950,16592565,4271,D,49320.00,51780.00
Saman-E-Kish,20200704,49740.00,49740.00,45020.00,49320.00,675334062280,13693288,6357,D,47380.00,48750.00
Saman-E-Kish,20200701,47380.00,47380.00,47300.00,47380.00,696532623390,14701006,2838,D,45130.00,47380.00
Saman-E-Kish,20200630,45130.00,45130.00,45010.00,45130.00,276326544080,6122924,2673,D,42990.00,45130.00
Saman-E-Kish,20200629,41800.00,46140.00,41760.00,42990.00,228806040110,5321976,3834,D,43950.00,44390.00
Saman-E-Kish,20200628,45010.00,45600.00,43720.00,43950.00,221682224040,5043698,3574,D,46020.00,43720.00
Saman-E-Kish,20200627,47600.00,47610.00,44800.00,46020.00,234212932020,5089566,4512,D,47040.00,45650.00
Saman-E-Kish,20200624,46640.00,49000.00,46640.00,47040.00,212173635260,4510725,3319,D,49090.00,46640.00
Saman-E-Kish,20200623,51250.00,51250.00,46520.00,49090.00,364778136730,7431132,6611,D,48960.00,46570.00
Saman-E-Kish,20200622,49500.00,50800.00,46900.00,48960.00,325211864860,6641852,5366,D,48850.00,49600.00
Saman-E-Kish,20200621,50940.00,50950.00,48420.00,48850.00,302373245320,6189493,4123,D,50960.00,48420.00
Saman-E-Kish,20200620,51000.00,51340.00,49700.00,50960.00,420033341580,8242251,4715,D,48900.00,49800.00
