<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sarma.Afarin,20200722,32480.00,34570.00,31530.00,32790.00,88168478120,2688816,1487,D,33180.00,33810.00
Sarma.Afarin,20200721,34860.00,34860.00,32520.00,33180.00,81332062980,2450904,1415,D,34230.00,32520.00
Sarma.Afarin,20200720,34200.00,34320.00,33000.00,34230.00,95988058200,2804055,1333,D,32690.00,34210.00
Sarma.Afarin,20200719,32740.00,32740.00,31190.00,32690.00,103387037100,3162491,1327,D,31190.00,32740.00
Sarma.Afarin,20200718,29710.00,31930.00,29710.00,31190.00,111573126720,3576817,2036,D,30410.00,31930.00
Sarma.Afarin,20200715,32000.00,32000.00,29610.00,30410.00,85052178290,2796612,1377,D,30780.00,29710.00
Sarma.Afarin,20200714,30780.00,30780.00,30500.00,30780.00,93092399790,3024489,1077,D,29320.00,30780.00
Sarma.Afarin,20200713,27410.00,30210.00,27350.00,29320.00,126129249120,4301788,1601,D,28780.00,30210.00
Sarma.Afarin,20200712,28900.00,28900.00,26200.00,28780.00,54967886910,1910196,1028,D,27530.00,27550.00
Sarma.Afarin,20200711,27500.00,29080.00,27030.00,27530.00,97210649150,3531070,1390,D,28450.00,28450.00
Sarma.Afarin,20200708,28380.00,29300.00,28380.00,28450.00,52126382400,1832177,1087,D,29870.00,28380.00
Sarma.Afarin,20200707,30420.00,30420.00,29010.00,29870.00,54929976680,1838975,1195,D,29240.00,29220.00
Sarma.Afarin,20200705,28390.00,30500.00,28390.00,29240.00,81325820530,2781204,1851,D,29880.00,29630.00
Sarma.Afarin,20200704,31960.00,31960.00,29420.00,29880.00,58025394120,1942228,1250,D,30960.00,29420.00
Sarma.Afarin,20200701,31170.00,31170.00,30200.00,30960.00,70571898530,2279625,1436,D,29690.00,31150.00
Sarma.Afarin,20200630,29500.00,30040.00,28850.00,29690.00,40248638570,1342591,943,D,28610.00,30040.00
Sarma.Afarin,20200629,29070.00,29070.00,28520.00,28610.00,61572825970,2151831,1309,D,30020.00,28800.00
Sarma.Afarin,20200628,32260.00,32260.00,29260.00,30020.00,64804026950,2158715,1262,D,30800.00,29260.00
Sarma.Afarin,20200627,30220.00,30900.00,29500.00,30800.00,86279336010,2800948,1221,D,29430.00,30900.00
