<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sepah.Inv.,20200722,18700.00,19400.00,18670.00,18720.00,371900611260,19862574,5117,D,19650.00,19050.00
Sepah.Inv.,20200721,20250.00,20550.00,19400.00,19650.00,547453651700,27858320,6234,D,20420.00,19400.00
Sepah.Inv.,20200720,20180.00,20480.00,19840.00,20420.00,1238870139680,60673209,7633,D,19510.00,20300.00
Sepah.Inv.,20200719,19580.00,19640.00,19000.00,19510.00,495570808940,25397005,6476,D,18710.00,19440.00
Sepah.Inv.,20200718,18750.00,18940.00,17950.00,18710.00,406171655480,21713132,7336,D,18040.00,18690.00
Sepah.Inv.,20200715,17890.00,18970.00,17890.00,18040.00,552507891600,30629431,6491,D,18830.00,18200.00
Sepah.Inv.,20200714,19000.00,19660.00,18760.00,18830.00,375131940460,19924086,5198,D,19740.00,18760.00
Sepah.Inv.,20200713,20200.00,20390.00,19640.00,19740.00,348914284640,17672644,5765,D,20670.00,19640.00
Sepah.Inv.,20200712,20650.00,20690.00,19700.00,20670.00,1068118736140,51680499,7644,D,19710.00,20400.00
Sepah.Inv.,20200711,19280.00,20780.00,19280.00,19710.00,343169702670,17412996,4636,D,20290.00,20250.00
Sepah.Inv.,20200708,21350.00,21400.00,19430.00,20290.00,549966845500,27101302,8515,D,20450.00,19430.00
Sepah.Inv.,20200707,20500.00,20510.00,19800.00,20450.00,1103783167940,53975702,7496,D,19540.00,20510.00
Sepah.Inv.,20200706,19540.00,19540.00,19410.00,19540.00,443117756490,22682604,2444,D,18610.00,19540.00
Sepah.Inv.,20200705,18200.00,19350.00,17580.00,18610.00,465746197270,25029162,5940,D,18500.00,19180.00
Sepah.Inv.,20200704,19900.00,19900.00,18210.00,18500.00,444311824850,24017671,6729,D,19160.00,18210.00
Sepah.Inv.,20200701,19200.00,19200.00,18500.00,19160.00,549633804870,28689121,5238,D,18290.00,19200.00
Sepah.Inv.,20200630,17980.00,18320.00,17960.00,18290.00,185412647190,10140086,2082,D,17450.00,18320.00
Sepah.Inv.,20200629,17120.00,17990.00,17120.00,17450.00,286672581840,16432670,4996,D,18020.00,17890.00
Sepah.Inv.,20200628,18160.00,18160.00,16600.00,18020.00,514930266200,28578370,5645,D,17300.00,17550.00
Sepah.Inv.,20200627,17300.00,17300.00,17300.00,17300.00,85648736200,4950794,862,D,16480.00,17300.00
Sepah.Inv.,20200624,15900.00,16670.00,15300.00,16480.00,310548635630,18840098,2889,D,15880.00,16670.00
Sepah.Inv.,20200623,15930.00,15930.00,15180.00,15880.00,207526718720,13065471,2490,D,15180.00,15930.00
Sepah.Inv.,20200622,15220.00,15220.00,15220.00,15180.00,49213428620,3233471,593,D,14500.00,15220.00
Sepah.Inv.,20200616,13970.00,14670.00,13290.00,14500.00,301073534700,20762873,3735,D,13980.00,14670.00
Sepah.Inv.,20200615,14600.00,14600.00,13500.00,13980.00,190171421840,13598664,4184,D,14060.00,13610.00
Sepah.Inv.,20200614,14240.00,14240.00,13310.00,14060.00,325307287840,23133286,4763,D,13570.00,14240.00
Sepah.Inv.,20200613,13570.00,13570.00,13500.00,13570.00,103189907750,7604457,1531,D,12924.00,13570.00
Sepah.Inv.,20200610,12399.00,13018.00,12312.00,12924.00,232317771006,17975959,3614,D,12399.00,13018.00
Sepah.Inv.,20200609,12598.00,13100.00,12274.00,12399.00,181751263918,14658471,3240,D,12920.00,12274.00
Sepah.Inv.,20200608,13921.00,13921.00,12597.00,12920.00,352555550217,27288392,5125,D,13259.00,12600.00
Sepah.Inv.,20200607,13000.00,13311.00,12700.00,13259.00,331035463850,24966071,3052,D,12678.00,13307.00
Sepah.Inv.,20200606,12678.00,12678.00,12657.00,12678.00,319503663442,25201619,3312,D,12075.00,12678.00
Sepah.Inv.,20200602,11998.00,12087.00,11728.00,12075.00,343280255032,28429001,3985,D,11512.00,12087.00
Sepah.Inv.,20200601,11513.00,11513.00,11400.00,11512.00,391331038366,33992353,4153,D,10965.00,11513.00
Sepah.Inv.,20200531,10975.00,10975.00,10400.00,10965.00,327886864502,29904193,2983,D,10453.00,10975.00
Sepah.Inv.,20200530,10453.00,10453.00,10450.00,10453.00,175558454337,16795037,1273,D,9956.00,10453.00
Sepah.Inv.,20200527,9128.00,10088.00,9128.00,9956.00,115307073031,11581822,1092,D,9608.00,10088.00
Sepah.Inv.,20200526,9606.00,10100.00,9602.00,9608.00,59421855895,6184764,961,D,10099.00,9602.00
Sepah.Inv.,20200523,10072.00,10600.00,10072.00,10107.00,79054762059,7821856,1079,D,10602.00,10100.00
Sepah.Inv.,20200520,10788.00,10850.00,10570.00,10602.00,135312543427,12762469,1969,D,11126.00,10622.00
Sepah.Inv.,20200519,11847.00,11847.00,10791.00,11126.00,117017968126,10517706,1888,D,11355.00,10935.00
Sepah.Inv.,20200518,11400.00,12100.00,10954.00,11355.00,134385150394,11835008,2249,D,11530.00,11579.00
Sepah.Inv.,20200517,11202.00,11202.00,11202.00,11530.00,20648299338,1843269,195,D,11791.00,11202.00
Sepah.Inv.,20200516,11485.00,12034.00,11433.00,11791.00,24883737237,2151716,550,D,12034.00,11433.00
Sepah.Inv.,20200513,11925.00,12540.00,11925.00,12034.00,299849750348,24916957,2755,D,12552.00,11925.00
Sepah.Inv.,20200512,12560.00,12562.00,12551.00,12552.00,148781583630,11853195,872,D,13211.00,12551.00
Sepah.Inv.,20200511,13716.00,13716.00,12560.00,13211.00,371325508845,28106803,4771,D,13063.00,12850.00
Sepah.Inv.,20200510,13063.00,13063.00,13036.00,13063.00,492695131047,37716896,2009,D,12441.00,13063.00
Sepah.Inv.,20200509,12000.00,12457.00,12000.00,12441.00,403123022047,32403907,1807,D,11864.00,12457.00
Sepah.Inv.,20200506,12000.00,12000.00,11600.00,11864.00,350721169228,29561929,2776,D,11981.00,11985.00
