<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
ShafaDarou.Inv.,20200722,75020.00,81460.00,73720.00,74950.00,216002621860,2881917,1525,D,77590.00,73720.00
ShafaDarou.Inv.,20200721,77570.00,78600.00,77570.00,77590.00,280234954460,3611913,1495,D,81650.00,77570.00
ShafaDarou.Inv.,20200720,87990.00,87990.00,79870.00,81650.00,324028837260,3968733,1852,D,84070.00,79870.00
ShafaDarou.Inv.,20200719,88000.00,88010.00,83600.00,84070.00,213820726000,2543497,392,D,84110.00,84200.00
ShafaDarou.Inv.,20200713,86600.00,86980.00,82540.00,85310.00,590685769130,6923654,2144,D,86880.00,84000.00
ShafaDarou.Inv.,20200712,87870.00,87870.00,83690.00,86880.00,845764819670,9734858,3831,D,83690.00,85500.00
ShafaDarou.Inv.,20200711,83690.00,83690.00,83690.00,83690.00,124407946770,1486533,341,D,88090.00,83690.00
ShafaDarou.Inv.,20200708,85040.00,85040.00,85040.00,88090.00,16165338640,190091,354,D,89510.00,85040.00
ShafaDarou.Inv.,20200707,90100.00,91990.00,89160.00,89510.00,168924680620,1887189,1586,D,93850.00,89160.00
ShafaDarou.Inv.,20200706,97030.00,97030.00,88030.00,93850.00,980403650300,10446106,4762,D,92410.00,91700.00
ShafaDarou.Inv.,20200705,92410.00,92410.00,92410.00,92410.00,92780564100,1004010,162,D,88010.00,92410.00
ShafaDarou.Inv.,20200704,88010.00,88010.00,88010.00,88010.00,72682706460,825846,303,D,83820.00,88010.00
ShafaDarou.Inv.,20200701,83820.00,83820.00,83820.00,83820.00,118685599560,1415958,356,D,79830.00,83820.00
ShafaDarou.Inv.,20200630,79830.00,79830.00,79830.00,79830.00,108840461490,1363403,245,D,76030.00,79830.00
ShafaDarou.Inv.,20200627,76030.00,76030.00,76030.00,76030.00,78260796230,1029341,157,D,72410.00,76030.00
ShafaDarou.Inv.,20200624,72490.00,72490.00,70000.00,72410.00,425044311060,5869937,803,D,69040.00,72490.00
ShafaDarou.Inv.,20200623,69040.00,69040.00,69040.00,69040.00,75268305520,1090213,220,D,65760.00,69040.00
ShafaDarou.Inv.,20200622,65760.00,65760.00,65760.00,65760.00,77186654880,1173763,167,D,62630.00,65760.00
ShafaDarou.Inv.,20200621,63310.00,63310.00,63310.00,62630.00,42239672280,667188,232,D,60300.00,63310.00
ShafaDarou.Inv.,20200620,60850.00,60850.00,60850.00,60300.00,42458209200,697752,195,D,57960.00,60850.00
ShafaDarou.Inv.,20200616,57960.00,57960.00,57960.00,57960.00,176918784840,3052429,375,D,55200.00,57960.00
ShafaDarou.Inv.,20200615,55210.00,55210.00,54490.00,55200.00,140649534880,2547818,1131,D,52590.00,55210.00
ShafaDarou.Inv.,20200614,52700.00,54800.00,50800.00,52590.00,109891832100,2089577,1469,D,52700.00,54490.00
ShafaDarou.Inv.,20200613,53650.00,54000.00,52050.00,52700.00,97810796960,1855942,1015,D,52459.00,52470.00
ShafaDarou.Inv.,20200610,52200.00,54100.00,51170.00,52459.00,48426045703,923613,887,D,52853.00,53000.00
ShafaDarou.Inv.,20200609,54990.00,56385.00,51500.00,52853.00,73326328910,1387369,725,D,53861.00,52416.00
ShafaDarou.Inv.,20200608,51051.00,56423.00,51051.00,53861.00,82098156832,1524269,861,D,53737.00,53200.00
ShafaDarou.Inv.,20200607,53737.00,53737.00,53083.00,53737.00,118679825423,2208536,497,D,51179.00,53737.00
ShafaDarou.Inv.,20200606,50551.00,53077.00,48700.00,51179.00,138606007750,2708281,1386,D,50550.00,52300.00
ShafaDarou.Inv.,20200602,49400.00,51067.00,47205.00,50550.00,148550819223,2938673,1077,D,48636.00,51065.00
ShafaDarou.Inv.,20200601,46831.00,49988.00,46201.00,48636.00,64985923111,1336164,894,D,48433.00,49355.00
ShafaDarou.Inv.,20200531,50174.00,50175.00,46352.00,48433.00,68770109194,1419894,893,D,48775.00,47800.00
ShafaDarou.Inv.,20200530,50598.00,50598.00,48048.00,48775.00,52784306749,1082195,1107,D,48704.00,48700.00
