<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Shahed.Development,20200722,21794.00,21794.00,21794.00,21794.00,65155429576,2989604,374,D,20757.00,21794.00
Shahed.Development,20200721,20757.00,20757.00,20757.00,20757.00,83806823397,4037521,433,D,19769.00,20757.00
Shahed.Development,20200720,19820.00,19820.00,18980.00,19769.00,540097327108,27320040,2085,D,18877.00,19820.00
Shahed.Development,20200719,18877.00,18877.00,18877.00,18877.00,59460322514,3149882,258,D,17979.00,18877.00
Shahed.Development,20200718,17979.00,17979.00,17979.00,17979.00,84318471549,4689831,369,D,17123.00,17979.00
Shahed.Development,20200715,17123.00,17123.00,17123.00,17123.00,75271149807,4395909,389,D,16308.00,17123.00
Shahed.Development,20200714,16733.00,16733.00,16733.00,16308.00,26177941850,1564450,350,D,15937.00,16733.00
Shahed.Development,20200713,15937.00,15937.00,15937.00,15937.00,256876884927,16118271,961,D,15179.00,15937.00
Shahed.Development,20200712,15457.00,15457.00,15457.00,15179.00,32292161577,2089161,276,D,14721.00,15457.00
Shahed.Development,20200711,14152.00,15600.00,14152.00,14721.00,227726631581,15469287,2657,D,14896.00,15400.00
Shahed.Development,20200708,14800.00,15500.00,14724.00,14896.00,249050157367,16719629,2748,D,15498.00,14724.00
Shahed.Development,20200707,15601.00,15990.00,15472.00,15498.00,201154757479,12979085,2656,D,16286.00,15472.00
Shahed.Development,20200706,16397.00,16798.00,15400.00,16286.00,271815343038,16689847,3965,D,16007.00,15600.00
Shahed.Development,20200705,16300.00,16840.00,15641.00,16007.00,269582574341,16841133,3799,D,16464.00,15780.00
Shahed.Development,20200704,17786.00,17786.00,16297.00,16464.00,187604872129,11394894,2738,D,17154.00,16297.00
Shahed.Development,20200701,17276.00,17295.00,16200.00,17154.00,123745661515,7213674,1467,D,16472.00,17295.00
Shahed.Development,20200630,16511.00,16511.00,15973.00,16472.00,308978783304,18757531,3295,D,15725.00,16160.00
Shahed.Development,20200629,15400.00,16750.00,15238.00,15725.00,334277937110,21257617,3500,D,16040.00,16170.00
Shahed.Development,20200628,14849.00,16411.00,14849.00,16040.00,302442574166,18855159,1848,D,15630.00,16293.00
Shahed.Development,20200623,15931.00,15931.00,15931.00,15630.00,32164306656,2018976,226,D,15173.00,15931.00
Shahed.Development,20200622,14133.00,15619.00,14133.00,15173.00,192708946678,12700613,2359,D,14876.00,15619.00
Shahed.Development,20200621,15400.00,15400.00,14798.00,14876.00,64013016717,4303024,1273,D,15576.00,14798.00
Shahed.Development,20200620,15675.00,15675.00,15012.00,15576.00,284638376424,18273625,3713,D,14929.00,15499.00
Shahed.Development,20200616,14929.00,14929.00,14929.00,14929.00,62294820531,4172739,309,D,14219.00,14929.00
Shahed.Development,20200615,14219.00,14219.00,14219.00,14219.00,68800337780,4838620,325,D,13542.00,14219.00
Shahed.Development,20200614,13589.00,13589.00,13077.00,13542.00,147397858785,10884435,1334,D,12942.00,13589.00
Shahed.Development,20200613,12942.00,12942.00,12942.00,12942.00,52792656966,4079173,332,D,12326.00,12942.00
Shahed.Development,20200610,12428.00,12428.00,12428.00,12326.00,51342528744,4131198,304,D,11837.00,12428.00
Shahed.Development,20200609,12007.00,12007.00,12007.00,11837.00,42081173040,3504720,327,D,11436.00,12007.00
Shahed.Development,20200608,11452.00,11452.00,11001.00,11436.00,130004194150,11367657,1297,D,10907.00,11452.00
Shahed.Development,20200607,10948.00,10948.00,10948.00,10907.00,50373346408,4601146,275,D,10427.00,10948.00
Shahed.Development,20200606,10468.00,10508.00,10111.00,10427.00,49390676989,4725851,872,D,10008.00,10508.00
Shahed.Development,20200602,9892.00,10350.00,9501.00,10008.00,85026405500,8495544,1689,D,9892.00,9998.00
