<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Shahroud.Sugar,20200722,54570.00,54570.00,54570.00,54060.00,40065894270,734211,606,D,51980.00,54570.00
Shahroud.Sugar,20200721,49150.00,53820.00,49150.00,51980.00,182264570220,3506763,2312,D,51260.00,53820.00
Shahroud.Sugar,20200720,51000.00,53890.00,49890.00,51260.00,283137542570,5523487,3477,D,52510.00,50390.00
Shahroud.Sugar,20200719,55000.00,55000.00,52160.00,52510.00,109664402780,2088268,1307,D,54900.00,52160.00
Shahroud.Sugar,20200718,56300.00,56680.00,52500.00,54900.00,181123825850,3299402,2686,D,54620.00,53790.00
Shahroud.Sugar,20200715,56600.00,56700.00,51320.00,54620.00,155730475300,2851035,2328,D,54020.00,54120.00
Shahroud.Sugar,20200714,53600.00,54080.00,53000.00,54020.00,94928078410,1757399,1295,D,51510.00,54080.00
Shahroud.Sugar,20200713,49740.00,52650.00,47650.00,51510.00,217557634040,4223987,2245,D,50150.00,52650.00
Shahroud.Sugar,20200712,50300.00,50330.00,48550.00,50150.00,115841354170,2310127,1542,D,47940.00,49090.00
Shahroud.Sugar,20200711,47260.00,51000.00,47260.00,47940.00,62493188680,1303680,1327,D,49740.00,47840.00
Shahroud.Sugar,20200708,50610.00,50610.00,46800.00,49740.00,191099798700,3842354,2807,D,48200.00,47000.00
Shahroud.Sugar,20200707,48010.00,49590.00,46000.00,48200.00,158130076350,3280385,2494,D,47230.00,49590.00
Shahroud.Sugar,20200706,46870.00,48040.00,44580.00,47230.00,109971069830,2328305,2150,D,45760.00,46340.00
Shahroud.Sugar,20200705,45230.00,48000.00,45230.00,45760.00,145143717940,3171532,2676,D,47610.00,46330.00
Shahroud.Sugar,20200704,49900.00,49900.00,47010.00,47610.00,45516580460,958095,1185,D,49480.00,47010.00
Shahroud.Sugar,20200701,50790.00,50790.00,47000.00,49480.00,109194214610,2206675,1799,D,48380.00,48990.00
Shahroud.Sugar,20200630,46080.00,48630.00,46080.00,48380.00,95266515650,1968931,1527,D,46320.00,48630.00
Shahroud.Sugar,20200629,47100.00,47980.00,46080.00,46320.00,87297497010,1884623,1486,D,48500.00,46080.00
Shahroud.Sugar,20200628,51480.00,51480.00,47560.00,48500.00,82377803870,1698543,1496,D,50060.00,47650.00
Shahroud.Sugar,20200627,50990.00,50990.00,49700.00,50060.00,62711480960,1252713,1266,D,49650.00,50010.00
Shahroud.Sugar,20200624,48510.00,51590.00,48480.00,49650.00,76806656370,1547013,1618,D,51030.00,50190.00
Shahroud.Sugar,20200623,52390.00,52980.00,48260.00,51030.00,135162072580,2648730,2584,D,50800.00,49250.00
Shahroud.Sugar,20200622,50600.00,54100.00,50460.00,50800.00,335109857200,6596157,3639,D,53110.00,51120.00
Shahroud.Sugar,20200621,54900.00,54900.00,52950.00,53110.00,162529530360,3060482,2234,D,55730.00,52950.00
Shahroud.Sugar,20200620,54500.00,56880.00,53000.00,55730.00,181219331840,3251625,2714,D,54180.00,54590.00
Shahroud.Sugar,20200616,54100.00,56500.00,53090.00,54180.00,207610748930,3832117,3909,D,55880.00,54350.00
Shahroud.Sugar,20200615,56500.00,58250.00,52890.00,55880.00,216557941280,3875537,3595,D,55670.00,55000.00
Shahroud.Sugar,20200614,57000.00,57500.00,52040.00,55670.00,139334500570,2502743,2095,D,54770.00,57500.00
Shahroud.Sugar,20200613,54770.00,54770.00,54770.00,54770.00,56022261280,1022864,626,D,52166.00,54770.00
Shahroud.Sugar,20200610,52166.00,52166.00,52166.00,52166.00,86699735502,1661997,880,D,49682.00,52166.00
Shahroud.Sugar,20200609,49700.00,49718.00,48303.00,49682.00,79828594449,1606792,968,D,47351.00,49718.00
Shahroud.Sugar,20200608,48303.00,48303.00,43703.00,47351.00,236327326134,4990916,3173,D,46003.00,48303.00
Shahroud.Sugar,20200607,45000.00,47250.00,42750.00,46003.00,258918405642,5628271,3462,D,37209.00,45599.00
Shahroud.Sugar,20200606,38552.00,38552.00,38552.00,37209.00,14063962360,364805,251,D,36717.00,38552.00
Shahroud.Sugar,20200602,37628.00,37628.00,37628.00,36717.00,25903378596,688407,386,D,35837.00,37628.00
Shahroud.Sugar,20200601,33553.00,37081.00,33553.00,35837.00,150946544921,4212024,2653,D,35316.00,37081.00
Shahroud.Sugar,20200531,35055.00,35055.00,35055.00,35316.00,42140071215,1202113,596,D,36899.00,35055.00
Shahroud.Sugar,20200530,37491.00,37492.00,34000.00,36899.00,113126426711,3065852,1981,D,35707.00,34231.00
Shahroud.Sugar,20200527,35749.00,35749.00,35000.00,35707.00,61381500611,1719015,1272,D,34047.00,35749.00
Shahroud.Sugar,20200523,33250.00,33250.00,31588.00,32495.00,59591914203,1833893,1061,D,33331.00,33160.00
Shahroud.Sugar,20200520,33300.00,33550.00,32000.00,33331.00,67558461224,2026883,1261,D,31953.00,33550.00
Shahroud.Sugar,20200519,32167.00,32167.00,32100.00,31953.00,46205508491,1436433,946,D,30636.00,32167.00
Shahroud.Sugar,20200518,31308.00,31308.00,31308.00,30636.00,28703518788,916811,378,D,29818.00,31308.00
Shahroud.Sugar,20200517,27577.00,30479.00,27577.00,29818.00,78182311557,2621954,1585,D,29028.00,30479.00
Shahroud.Sugar,20200516,29500.00,31000.00,28444.00,29028.00,50184861518,1728819,1461,D,29941.00,28444.00
Shahroud.Sugar,20200513,28540.00,30572.00,28131.00,29941.00,79161275532,2643903,2388,D,29117.00,29200.00
Shahroud.Sugar,20200512,30000.00,30000.00,28510.00,29117.00,49338812518,1694510,1154,D,32731.00,29810.00
Shahroud.Sugar,20200509,32021.00,33549.00,31800.00,32731.00,85183328962,2602538,2389,D,32458.00,32150.00
Shahroud.Sugar,20200506,32338.00,33770.00,32338.00,32458.00,100374949746,3092424,2387,D,34039.00,32500.00
Shahroud.Sugar,20200505,36500.00,36500.00,33290.00,34039.00,57888684342,1700667,1318,D,35042.00,33290.00
Shahroud.Sugar,20200504,35840.00,37000.00,33936.00,35042.00,140582470926,4011797,2723,D,35722.00,34299.00
Shahroud.Sugar,20200503,35748.00,35748.00,35000.00,35722.00,63148275012,1767764,1331,D,34046.00,35200.00
Shahroud.Sugar,20200502,34140.00,34141.00,33600.00,34046.00,51047118400,1497568,1173,D,32516.00,34141.00
Shahroud.Sugar,20200429,31999.00,32860.00,31297.00,32516.00,106302377169,3269282,2803,D,31296.00,32850.00
Shahroud.Sugar,20200428,31278.00,32100.00,30100.00,31296.00,74204743198,2371025,2553,D,30911.00,31200.00
Shahroud.Sugar,20200427,31950.00,32000.00,30437.00,30911.00,109909129636,3555700,3077,D,32038.00,30455.00
Shahroud.Sugar,20200426,34446.00,34446.00,31186.00,32038.00,144140461724,4498977,3620,D,32827.00,31821.00
Shahroud.Sugar,20200425,33252.00,33252.00,33252.00,32827.00,38404829676,1154963,1029,D,31669.00,33252.00
Shahroud.Sugar,20200422,31400.00,32090.00,30800.00,31669.00,88936774093,2808323,2075,D,30562.00,32090.00
Shahroud.Sugar,20200421,30988.00,31490.00,29525.00,30562.00,84556584833,2766740,2479,D,30464.00,30790.00
Shahroud.Sugar,20200420,30000.00,31499.00,29619.00,30464.00,90662586074,2976070,2865,D,30867.00,30145.00
Shahroud.Sugar,20200419,32900.00,32900.00,30391.00,30867.00,122803767516,3978454,3743,D,31990.00,30391.00
Shahroud.Sugar,20200418,32000.00,32320.00,31000.00,31990.00,83979814900,2625223,2841,D,30792.00,32248.00
Shahroud.Sugar,20200415,31628.00,31628.00,30047.00,30792.00,49216757560,1597664,1503,D,30122.00,30500.00
Shahroud.Sugar,20200414,30000.00,31000.00,29957.00,30122.00,79733233452,2647019,2454,D,31533.00,29957.00
Shahroud.Sugar,20200413,33250.00,33250.00,30528.00,31533.00,64380857255,2041677,1795,D,31716.00,31202.00
Shahroud.Sugar,20200412,30001.00,32214.00,30001.00,31716.00,90123746306,2841560,2068,D,30680.00,32214.00
Shahroud.Sugar,20200411,29610.00,31993.00,29503.00,30680.00,94682377716,3086130,2679,D,30695.00,30400.00
Shahroud.Sugar,20200408,32111.00,32111.00,29901.00,30695.00,132450250499,4315076,3774,D,30969.00,30000.00
Shahroud.Sugar,20200407,31380.00,31469.00,29976.00,30969.00,76713957907,2477139,2403,D,29971.00,31469.00
Shahroud.Sugar,20200406,29997.00,29997.00,29000.00,29971.00,79210483702,2642908,1767,D,28569.00,29997.00
Shahroud.Sugar,20200405,29255.00,29255.00,29255.00,28569.00,27815390705,950791,696,D,27862.00,29255.00
Shahroud.Sugar,20200404,27290.00,28038.00,27002.00,27862.00,67412786160,2419498,2123,D,26703.00,28038.00
Shahroud.Sugar,20200330,27700.00,27700.00,26448.00,26703.00,60446956862,2263675,2434,D,27839.00,26800.00
Shahroud.Sugar,20200329,28108.00,28116.00,27000.00,27839.00,81438312267,2925301,2498,D,26778.00,27879.00
Shahroud.Sugar,20200328,26999.00,27035.00,25959.00,26778.00,49954200087,1862406,2072,D,25748.00,27035.00
Shahroud.Sugar,20200325,25930.00,25959.00,25300.00,25748.00,45937522597,1771967,1430,D,24723.00,25959.00
Shahroud.Sugar,20200324,25200.00,25280.00,24200.00,24723.00,36978873466,1480124,1405,D,24077.00,25280.00
Shahroud.Sugar,20200318,24683.00,24999.00,23100.00,24077.00,36855079465,1528766,1672,D,23976.00,24799.00
Shahroud.Sugar,20200317,25198.00,25198.00,23150.00,23976.00,23179205679,981447,1335,D,24324.00,23600.00
