<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sina.Fin..Ins.,20200722,13530.00,14470.00,13530.00,14450.00,1099158693700,76088447,5121,D,13790.00,14470.00
Sina.Fin..Ins.,20200721,13690.00,14550.00,13410.00,13790.00,768932267070,55740138,7602,D,14110.00,13990.00
Sina.Fin..Ins.,20200720,14600.00,14600.00,13820.00,14110.00,275603784470,19538568,2589,D,14540.00,13850.00
Sina.Fin..Ins.,20200719,14000.00,14610.00,14000.00,14540.00,1030787646620,70897781,6711,D,13920.00,14610.00
Sina.Fin..Ins.,20200718,14080.00,14400.00,13710.00,13920.00,1113484509030,79972465,11696,D,14430.00,13800.00
Sina.Fin..Ins.,20200715,14440.00,14440.00,14020.00,14430.00,1955939650060,135501942,9767,D,13760.00,14430.00
Sina.Fin..Ins.,20200714,13200.00,13790.00,13200.00,13760.00,1548039795150,112494760,9133,D,13140.00,13790.00
Sina.Fin..Ins.,20200713,13110.00,13500.00,13110.00,13140.00,741355471660,56417600,7028,D,13790.00,13110.00
Sina.Fin..Ins.,20200712,13800.00,14160.00,12850.00,13790.00,870886698670,63175537,9802,D,13490.00,12950.00
Sina.Fin..Ins.,20200711,13460.00,13940.00,13460.00,13490.00,609217851830,45161238,5120,D,14160.00,13460.00
Sina.Fin..Ins.,20200708,14790.00,14790.00,14090.00,14160.00,737741625010,52085738,6529,D,14830.00,14090.00
Sina.Fin..Ins.,20200707,14840.00,14840.00,14250.00,14830.00,998205369410,67315830,6577,D,14140.00,14800.00
Sina.Fin..Ins.,20200706,14140.00,14140.00,14140.00,14140.00,422608995480,29887482,2984,D,13470.00,14140.00
Sina.Fin..Ins.,20200705,12900.00,13700.00,12670.00,13470.00,688849133330,51137008,5491,D,13050.00,13700.00
Sina.Fin..Ins.,20200704,13400.00,13520.00,12520.00,13050.00,652178601670,49969088,8577,D,13170.00,12670.00
Sina.Fin..Ins.,20200701,13170.00,13170.00,13170.00,13170.00,348689855070,26476071,3094,D,12550.00,13170.00
Sina.Fin..Ins.,20200630,12550.00,12550.00,12550.00,12550.00,253618959100,20208682,2334,D,11960.00,12550.00
Sina.Fin..Ins.,20200629,11810.00,12490.00,11730.00,11960.00,648493388280,54222420,7730,D,12340.00,12400.00
Sina.Fin..Ins.,20200628,13150.00,13150.00,12130.00,12340.00,771654931360,62542420,7673,D,12760.00,12130.00
Sina.Fin..Ins.,20200627,12980.00,12990.00,12500.00,12760.00,584898199060,45848573,7234,D,12530.00,12840.00
Sina.Fin..Ins.,20200624,12290.00,12980.00,12290.00,12530.00,608331011350,48537801,7518,D,12930.00,12540.00
Sina.Fin..Ins.,20200623,13000.00,13480.00,12400.00,12930.00,1248895728980,96569425,15161,D,13050.00,12400.00
Sina.Fin..Ins.,20200622,13000.00,13390.00,12910.00,13050.00,1255142967320,96211384,16794,D,13580.00,12990.00
Sina.Fin..Ins.,20200621,13370.00,13910.00,12850.00,13580.00,815021698160,59996513,9082,D,13320.00,13360.00
Sina.Fin..Ins.,20200616,13320.00,13320.00,13320.00,13320.00,147685793040,11087522,448,D,12690.00,13320.00
Sina.Fin..Ins.,20200615,12690.00,12690.00,12690.00,12690.00,937666980630,73890227,3862,D,12090.00,12690.00
Sina.Fin..Ins.,20200614,12400.00,12880.00,11780.00,12090.00,1065761617800,88133102,10370,D,12400.00,12690.00
Sina.Fin..Ins.,20200613,12420.00,12420.00,12170.00,12400.00,1267567864630,102203586,9466,D,11830.00,12390.00
Sina.Fin..Ins.,20200610,11788.00,11833.00,11733.00,11830.00,567098317023,47936060,3633,D,11270.00,11833.00
Sina.Fin..Ins.,20200609,11273.00,11721.00,10850.00,11270.00,342781587692,30416223,5210,D,11227.00,11500.00
