<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sina.Marine.srv,20200722,65818.00,70970.00,65816.00,66952.00,84299419605,1259101,1225,D,69279.00,66610.00
Sina.Marine.srv,20200721,70000.00,70356.00,69237.00,69279.00,254283988158,3670422,1354,D,72881.00,69237.00
Sina.Marine.srv,20200720,77688.00,77688.00,70330.00,72881.00,160650238064,2204273,1757,D,74031.00,70356.00
Sina.Marine.srv,20200719,73127.00,74177.00,72001.00,74031.00,174369985722,2355350,1224,D,70645.00,74177.00
Sina.Marine.srv,20200718,70850.00,70918.00,67700.00,70645.00,93332189252,1321150,1173,D,67541.00,70918.00
Sina.Marine.srv,20200715,66210.00,70999.00,66200.00,67541.00,116610170713,1726521,1238,D,69645.00,67600.00
Sina.Marine.srv,20200714,69050.00,74000.00,68024.00,69645.00,188506575223,2706694,1586,D,71604.00,68024.00
Sina.Marine.srv,20200713,71564.00,72770.00,71564.00,71604.00,191025151707,2667795,1478,D,75330.00,71564.00
Sina.Marine.srv,20200712,77900.00,78753.00,71253.00,75330.00,149542257950,1985157,1892,D,75003.00,71253.00
Sina.Marine.srv,20200711,74542.00,76990.00,74542.00,75003.00,243668412609,3248761,1548,D,78465.00,76500.00
Sina.Marine.srv,20200708,81400.00,81400.00,78286.00,78465.00,168797418881,2151249,1250,D,82406.00,78286.00
Sina.Marine.srv,20200707,83679.00,83679.00,79000.00,82406.00,293595277412,3562789,2976,D,79695.00,81390.00
Sina.Marine.srv,20200706,79695.00,79695.00,79695.00,79695.00,84900119535,1065313,524,D,75900.00,79695.00
Sina.Marine.srv,20200705,75907.00,75907.00,75206.00,75900.00,218556393512,2879513,1017,D,72293.00,75907.00
Sina.Marine.srv,20200704,73000.00,73370.00,69841.00,72293.00,567505953659,7850110,2041,D,69877.00,73370.00
Sina.Marine.srv,20200701,71000.00,71508.00,67960.00,69877.00,219426144228,3140178,1661,D,68103.00,71507.00
Sina.Marine.srv,20200630,65000.00,68309.00,64857.00,68103.00,119028476616,1747775,1068,D,65057.00,68309.00
Sina.Marine.srv,20200629,64870.00,67999.00,64857.00,65057.00,140612226388,2161363,1312,D,68270.00,64857.00
Sina.Marine.srv,20200628,71000.00,71000.00,68044.00,68270.00,198494329351,2907508,1305,D,71625.00,68044.00
Sina.Marine.srv,20200627,71900.00,73090.00,70000.00,71625.00,163764291528,2286409,1757,D,71414.00,71121.00
Sina.Marine.srv,20200624,65874.00,72805.00,65873.00,71414.00,186504117059,2611572,1520,D,69339.00,72000.00
Sina.Marine.srv,20200623,69731.00,70091.00,65587.00,69339.00,291817603462,4208534,2247,D,66754.00,66450.00
Sina.Marine.srv,20200622,62800.00,68100.00,62800.00,66754.00,223780342222,3352312,2646,D,64951.00,67699.00
Sina.Marine.srv,20200621,65050.00,67649.00,64267.00,64951.00,310016705180,4773073,2710,D,67649.00,64267.00
Sina.Marine.srv,20200620,66900.00,67930.00,64000.00,67649.00,280425965770,4145337,1660,D,64696.00,66300.00
Sina.Marine.srv,20200616,63668.00,66227.00,60255.00,64696.00,451716309452,6982137,3568,D,63074.00,66227.00
Sina.Marine.srv,20200615,63668.00,63668.00,57731.00,63074.00,151895665700,2408232,874,D,60637.00,63668.00
Sina.Marine.srv,20200609,60637.00,60637.00,60637.00,60637.00,92486523613,1525249,330,D,57750.00,60637.00
Sina.Marine.srv,20200608,57750.00,57750.00,57750.00,57750.00,116315892000,2014128,315,D,55000.00,57750.00
Sina.Marine.srv,20200607,55000.00,55000.00,55000.00,55000.00,62538850000,1137070,176,D,52381.00,55000.00
Sina.Marine.srv,20200606,52381.00,52381.00,52381.00,52381.00,70860964419,1352799,252,D,49887.00,52381.00
Sina.Marine.srv,20200602,49908.00,49908.00,49908.00,49887.00,55484470380,1111735,257,D,47532.00,49908.00
Sina.Marine.srv,20200601,47534.00,47534.00,47010.00,47532.00,72714487561,1529804,437,D,45271.00,47534.00
Sina.Marine.srv,20200531,44818.00,47090.00,42606.00,45271.00,136753521264,3020752,1574,D,44848.00,47090.00
Sina.Marine.srv,20200530,45670.00,46400.00,43500.00,44848.00,55240521433,1231730,1225,D,44579.00,44280.00
Sina.Marine.srv,20200527,44217.00,45991.00,44217.00,44579.00,64298985184,1442350,872,D,46544.00,45189.00
Sina.Marine.srv,20200526,46230.00,46300.00,45038.00,46544.00,21535545786,474198,385,D,47408.00,45038.00
Sina.Marine.srv,20200523,48014.00,48014.00,44516.00,47408.00,183300850992,3866437,1941,D,45728.00,47000.00
Sina.Marine.srv,20200520,45728.00,45728.00,45728.00,45728.00,103985700640,2274005,700,D,43551.00,45728.00
Sina.Marine.srv,20200519,43880.00,43980.00,43501.00,43551.00,43502771850,990761,558,D,41886.00,43980.00
Sina.Marine.srv,20200518,41907.00,41907.00,41000.00,41886.00,110797798642,2645225,1079,D,39912.00,41907.00
Sina.Marine.srv,20200517,38410.00,42000.00,38410.00,39912.00,67412357971,1689031,1402,D,40431.00,41000.00
Sina.Marine.srv,20200516,42000.00,42900.00,39475.00,40431.00,46341004540,1147712,904,D,41552.00,39475.00
Sina.Marine.srv,20200513,40812.00,44150.00,40812.00,41552.00,81270629343,1955875,1433,D,42959.00,40812.00
Sina.Marine.srv,20200512,41980.00,42000.00,41980.00,42959.00,25791294168,614347,471,D,44189.00,41980.00
Sina.Marine.srv,20200511,44555.00,46400.00,44107.00,44189.00,77016998025,1742919,1176,D,46428.00,44107.00
Sina.Marine.srv,20200510,48999.00,48999.00,44860.00,46428.00,144098834258,3103693,2000,D,47218.00,46500.00
Sina.Marine.srv,20200509,44005.00,47632.00,44005.00,47218.00,100025625871,2118376,1922,D,45364.00,47632.00
Sina.Marine.srv,20200506,45364.00,45364.00,45364.00,45364.00,64213377096,1415514,932,D,47751.00,45364.00
Sina.Marine.srv,20200505,48001.00,51000.00,46349.00,47751.00,112372900544,2353321,1437,D,48788.00,46349.00
Sina.Marine.srv,20200504,48627.00,50000.00,48627.00,48788.00,200201923601,4103501,2661,D,51186.00,48627.00
Sina.Marine.srv,20200503,51462.00,51462.00,49760.00,51186.00,194820406893,3806141,2937,D,49012.00,50460.00
