<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tamin.Daroo,20200722,67650.00,69600.00,67540.00,67900.00,162003588360,2386049,1540,D,71090.00,68000.00
Tamin.Daroo,20200721,70520.00,72480.00,69070.00,71090.00,330170423310,4644718,2091,D,72700.00,69070.00
Tamin.Daroo,20200720,70990.00,73260.00,70000.00,72700.00,464123929730,6384202,3527,D,69780.00,72000.00
Tamin.Daroo,20200719,69800.00,69800.00,67990.00,69780.00,476898167260,6834057,2569,D,66480.00,69800.00
Tamin.Daroo,20200718,66490.00,66490.00,64500.00,66480.00,265539784800,3994402,2029,D,63330.00,66490.00
Tamin.Daroo,20200715,60750.00,65000.00,60750.00,63330.00,205429873280,3244047,2282,D,63940.00,64980.00
Tamin.Daroo,20200714,63410.00,67500.00,63320.00,63940.00,127113587500,1988134,1864,D,66650.00,63320.00
Tamin.Daroo,20200713,68000.00,69550.00,66050.00,66650.00,201642039190,3025529,2056,D,69520.00,66070.00
Tamin.Daroo,20200712,68310.00,70500.00,67860.00,69520.00,188939510910,2717631,2057,D,67620.00,68000.00
Tamin.Daroo,20200711,67260.00,69000.00,67260.00,67620.00,175135431050,2590090,1759,D,70790.00,67280.00
Tamin.Daroo,20200708,70650.00,72580.00,70640.00,70790.00,227728684050,3217008,2158,D,74350.00,70640.00
Tamin.Daroo,20200707,78000.00,78000.00,72580.00,74350.00,204331355600,2748350,2517,D,76390.00,72580.00
Tamin.Daroo,20200706,76800.00,77310.00,73410.00,76390.00,367148345470,4806297,3522,D,73630.00,74890.00
Tamin.Daroo,20200705,73990.00,75980.00,71800.00,73630.00,146616783730,1991269,2545,D,73920.00,74980.00
Tamin.Daroo,20200704,75800.00,75800.00,71000.00,73920.00,333735112110,4514922,2653,D,72880.00,72860.00
Tamin.Daroo,20200701,72900.00,72920.00,71340.00,72880.00,319360993920,4382072,2152,D,69450.00,72920.00
Tamin.Daroo,20200630,67500.00,69530.00,67110.00,69450.00,278881233700,4015427,1873,D,66220.00,69530.00
Tamin.Daroo,20200629,66050.00,68000.00,65850.00,66220.00,157758989890,2382432,2201,D,69310.00,66250.00
Tamin.Daroo,20200628,73300.00,73300.00,68820.00,69310.00,186093397390,2684824,2025,D,72440.00,68860.00
Tamin.Daroo,20200627,73330.00,73330.00,70200.00,72440.00,169831970730,2344535,1400,D,69850.00,70800.00
Tamin.Daroo,20200624,69300.00,72000.00,67630.00,69850.00,81464948160,1164223,1347,D,69480.00,70210.00
