<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tamin.Petro.,20200722,20600.00,21200.00,20330.00,20360.00,2044087089830,100380289,16230,D,21400.00,20410.00
Tamin.Petro.,20200721,21210.00,22320.00,21210.00,21400.00,1917895328430,89631585,20887,D,22320.00,21210.00
Tamin.Petro.,20200720,22400.00,22680.00,21400.00,22320.00,3230745589570,144735146,32430,D,21600.00,21530.00
Tamin.Petro.,20200719,20560.00,22720.00,20560.00,21600.00,3537162817430,163783015,32821,D,21640.00,22200.00
Tamin.Petro.,20200718,21640.00,21640.00,21640.00,21640.00,1372804076240,63438266,6385,D,22770.00,21640.00
Tamin.Petro.,20200715,23000.00,23800.00,21820.00,22770.00,2307750082010,101328773,29318,D,22960.00,21820.00
Tamin.Petro.,20200714,22970.00,22970.00,22700.00,22960.00,216900930460,9448412,3238,D,21980.00,22900.00
Tamin.Petro.,20200713,21000.00,22490.00,20350.00,21980.00,2691234234830,122419244,21139,D,21420.00,22490.00
Tamin.Petro.,20200712,21420.00,21420.00,21350.00,21420.00,1123641468040,52460208,8344,D,20400.00,21390.00
Tamin.Petro.,20200711,19380.00,21420.00,19380.00,20400.00,2999403219260,147041263,24691,D,20400.00,21410.00
Tamin.Petro.,20200708,20870.00,20870.00,18990.00,20400.00,3629155777270,177914950,27657,D,19880.00,19790.00
Tamin.Petro.,20200707,19880.00,19880.00,19880.00,19880.00,264941475680,13327036,1440,D,18940.00,19880.00
Tamin.Petro.,20200706,18940.00,18940.00,18940.00,18940.00,318998048520,16842558,1288,D,18040.00,18940.00
Tamin.Petro.,20200705,18030.00,18040.00,18000.00,18040.00,819245571910,45418510,5464,D,17190.00,18040.00
Tamin.Petro.,20200704,17350.00,17350.00,15750.00,17190.00,2718261459680,158125216,20533,D,16530.00,17350.00
Tamin.Petro.,20200701,16530.00,16530.00,16520.00,16530.00,1827333137900,110546522,8077,D,15750.00,16530.00
Tamin.Petro.,20200630,15750.00,15750.00,15750.00,15750.00,167120289000,10610812,2614,D,15000.00,15750.00
Tamin.Petro.,20200629,14680.00,15410.00,14200.00,15000.00,1440533120530,96033914,12371,D,14680.00,15410.00
Tamin.Petro.,20200628,14200.00,14830.00,13510.00,14680.00,1562824823820,106443510,9361,D,14130.00,14720.00
Tamin.Petro.,20200624,14000.00,14410.00,13860.00,14130.00,281209488790,19904785,2051,D,13740.00,14410.00
Tamin.Petro.,20200623,13740.00,13740.00,13740.00,13740.00,496673410080,36147992,3740,D,13090.00,13740.00
Tamin.Petro.,20200622,13060.00,13110.00,12750.00,13090.00,598748657610,45741895,3829,D,12490.00,13110.00
Tamin.Petro.,20200621,12520.00,12520.00,12100.00,12490.00,752160586640,60238324,6278,D,11930.00,12520.00
Tamin.Petro.,20200620,11700.00,11970.00,11530.00,11930.00,614311507010,51479042,5301,D,11400.00,11970.00
Tamin.Petro.,20200616,11090.00,11590.00,10790.00,11400.00,681758759870,59829316,10225,D,11040.00,11590.00
Tamin.Petro.,20200615,10500.00,11220.00,10500.00,11040.00,948800734680,85909525,10927,D,10690.00,10900.00
Tamin.Petro.,20200614,11060.00,11060.00,10550.00,10690.00,1091559698730,102094932,12950,D,11100.00,10730.00
Tamin.Petro.,20200613,11390.00,11390.00,10880.00,11100.00,867634235440,78177719,12982,D,10880.00,11000.00
Tamin.Petro.,20200610,10699.00,10944.00,10425.00,10880.00,1117432194756,102703681,14123,D,10423.00,10944.00
Tamin.Petro.,20200609,10539.00,10800.00,10011.00,10423.00,920959687818,88358763,15977,D,10423.00,10422.00
Tamin.Petro.,20200608,11319.00,11319.00,10241.00,10423.00,991775967111,95155005,11152,D,10780.00,10241.00
Tamin.Petro.,20200607,10808.00,10808.00,10511.00,10780.00,1240396433989,115061032,7742,D,10294.00,10530.00
Tamin.Petro.,20200606,10328.00,10328.00,10020.00,10294.00,381477606365,37057416,4221,D,9837.00,10328.00
Tamin.Petro.,20200602,9550.00,9871.00,9501.00,9837.00,981804168420,99807432,8220,D,9401.00,9871.00
Tamin.Petro.,20200601,9342.00,9610.00,9100.00,9401.00,989380077447,105238869,12156,D,9342.00,9498.00
Tamin.Petro.,20200531,9370.00,9421.00,8535.00,9342.00,1828508436172,195734742,11768,D,8973.00,9421.00
Tamin.Petro.,20200530,8973.00,8973.00,8973.00,8973.00,135693232389,15122393,1696,D,8546.00,8973.00
Tamin.Petro.,20200527,8159.00,8575.00,8159.00,8546.00,538146632818,62968928,6272,D,8167.00,8575.00
Tamin.Petro.,20200526,8150.00,8488.00,7926.00,8167.00,408618000000,50034109,8076,D,8139.00,7960.00
Tamin.Petro.,20200523,8315.00,8398.00,8090.00,8138.00,397222550241,48809365,7080,D,8515.00,8154.00
Tamin.Petro.,20200520,8690.00,8999.00,8471.00,8515.00,704931951228,82783428,9695,D,8916.00,8641.00
Tamin.Petro.,20200519,9349.00,9442.00,8831.00,8916.00,567307285057,63629942,7785,D,9295.00,8831.00
Tamin.Petro.,20200518,9399.00,9490.00,9040.00,9295.00,617408026301,66426050,9272,D,9039.00,9399.00
Tamin.Petro.,20200517,9017.00,9200.00,9017.00,9039.00,1554160635442,171936612,13770,D,9491.00,9140.00
Tamin.Petro.,20200516,9491.00,9491.00,9491.00,9491.00,235681034005,24832055,2251,D,9990.00,9491.00
Tamin.Petro.,20200513,10201.00,10600.00,9691.00,9990.00,1135318306113,113641536,11296,D,10175.00,9691.00
Tamin.Petro.,20200511,10158.00,10428.00,10158.00,10175.00,1111951282898,109285890,8874,D,10692.00,10158.00
Tamin.Petro.,20200510,11077.00,11306.00,10428.00,10692.00,1335057288292,124859822,17549,D,10976.00,10428.00
Tamin.Petro.,20200509,11400.00,11400.00,10830.00,10976.00,1297357870827,118204279,12125,D,10137.00,10830.00
Tamin.Petro.,20200505,10800.00,10800.00,9951.00,10137.00,866254627237,85453014,11152,D,10474.00,9951.00
Tamin.Petro.,20200504,10500.00,10683.00,9667.00,10474.00,2370750065514,226335967,23887,D,10175.00,10600.00
Tamin.Petro.,20200503,10175.00,10175.00,10175.00,10175.00,1013510524950,99607914,7495,D,9691.00,10175.00
Tamin.Petro.,20200502,9691.00,9691.00,9691.00,9691.00,1675228532142,172864362,10334,D,9230.00,9691.00
Tamin.Petro.,20200429,9195.00,9242.00,9050.00,9230.00,1510310535237,163632494,10914,D,8802.00,9242.00
Tamin.Petro.,20200428,8803.00,8806.00,8600.00,8802.00,1336094891994,151787906,11298,D,8387.00,8806.00
Tamin.Petro.,20200427,8349.00,8431.00,8190.00,8387.00,1120333960578,133573380,10976,D,8030.00,8431.00
Tamin.Petro.,20200426,7824.00,8215.00,7824.00,8030.00,680994177625,84810302,7879,D,7452.00,8150.00
Tamin.Petro.,20200421,7450.00,7680.00,7366.00,7452.00,88675786519,11794072,1347,D,7340.00,7680.00
Tamin.Petro.,20200420,7299.00,7366.00,7022.00,7340.00,509400076958,69399200,4065,D,7016.00,7366.00
Tamin.Petro.,20200419,7050.00,7050.00,6746.00,7016.00,530369069528,75593598,6436,D,6715.00,7000.00
Tamin.Petro.,20200418,6715.00,6715.00,6700.00,6715.00,223222877169,33243769,3222,D,6396.00,6715.00
Tamin.Petro.,20200415,6298.00,6438.00,6140.00,6396.00,462606191691,72331186,7739,D,6132.00,6438.00
Tamin.Petro.,20200414,5950.00,6238.00,5710.00,6132.00,1066841283658,173991681,9470,D,5941.00,6231.00
Tamin.Petro.,20200413,5941.00,5941.00,5941.00,5941.00,326305444530,54924330,1300,D,5659.00,5941.00
Tamin.Petro.,20200412,5659.00,5659.00,5659.00,5659.00,368197894693,65064127,1564,D,5390.00,5659.00
Tamin.Petro.,20200411,5390.00,5390.00,5390.00,5390.00,478993895380,88867142,3066,D,5134.00,5390.00
Tamin.Petro.,20200408,5130.00,5176.00,5010.00,5134.00,412896873699,80419490,4305,D,4930.00,5176.00
Tamin.Petro.,20200407,4770.00,5008.00,4770.00,4930.00,252559097345,51229694,4022,D,4297.00,4945.00
Tamin.Petro.,20200318,4349.00,4379.00,4211.00,4297.00,95764070953,22308111,2905,D,4319.00,4301.00
Tamin.Petro.,20200317,4390.00,4390.00,4190.00,4319.00,59026825010,13799427,1743,D,4364.00,4338.00
Tamin.Petro.,20200316,4357.00,4517.00,4310.00,4364.00,55270789449,12481415,1805,D,4306.00,4385.00
Tamin.Petro.,20200315,4260.00,4428.00,4200.00,4306.00,131240711079,30481942,2357,D,4362.00,4266.00
Tamin.Petro.,20200314,4530.00,4550.00,4345.00,4362.00,123563061101,28325817,1641,D,4573.00,4345.00
