<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Techinco,20200722,28900.00,30750.00,28700.00,29300.00,72230102700,2465521,1667,D,30210.00,29300.00
Techinco,20200721,30500.00,31800.00,29260.00,30210.00,117532200090,3890372,2317,D,30780.00,29320.00
Techinco,20200720,31600.00,32500.00,30170.00,30780.00,229833031910,7466454,3769,D,31750.00,30750.00
Techinco,20200719,34000.00,34000.00,31160.00,31750.00,101181591300,3186399,1958,D,32790.00,31160.00
Techinco,20200718,32430.00,33080.00,31600.00,32790.00,117073496340,3570047,2223,D,31510.00,33080.00
Techinco,20200715,31400.00,31620.00,30780.00,31510.00,72274595620,2293920,1677,D,30120.00,31620.00
Techinco,20200714,28600.00,30560.00,28600.00,30120.00,123171718510,4089876,1736,D,29110.00,30560.00
Techinco,20200713,29100.00,31000.00,28780.00,29110.00,95257746470,3272504,2011,D,30290.00,28780.00
Techinco,20200712,30930.00,30990.00,29010.00,30290.00,109624593590,3618748,2438,D,29520.00,29110.00
Techinco,20200711,29430.00,30800.00,29430.00,29520.00,121996072640,4132531,1926,D,30970.00,29430.00
Techinco,20200708,30970.00,30970.00,30970.00,30970.00,49123003560,1586148,941,D,32600.00,30970.00
Techinco,20200707,33970.00,33970.00,32280.00,32600.00,31268960760,960216,428,D,32650.00,32280.00
Techinco,20200630,33140.00,33140.00,33140.00,32650.00,33358690860,1006599,685,D,31570.00,33140.00
Techinco,20200629,29800.00,32770.00,29800.00,31570.00,145843414790,4619636,2115,D,31210.00,32770.00
Techinco,20200628,32060.00,32060.00,31100.00,31210.00,134994072480,4325172,2092,D,32730.00,31100.00
Techinco,20200627,32760.00,34140.00,32470.00,32730.00,153739161160,4697700,2694,D,34170.00,32500.00
Techinco,20200624,34150.00,34990.00,34150.00,34170.00,65022055590,1903151,1162,D,35940.00,34150.00
Techinco,20200623,36000.00,36260.00,34000.00,35940.00,186376549600,5186383,2824,D,34540.00,35000.00
Techinco,20200622,33700.00,36000.00,33680.00,34540.00,150878888590,4368320,3173,D,34520.00,35800.00
Techinco,20200621,36410.00,36410.00,34370.00,34520.00,141147322370,4088859,2379,D,36170.00,34370.00
Techinco,20200620,35870.00,37000.00,35270.00,36170.00,174145605630,4814094,3278,D,35840.00,36000.00
Techinco,20200616,35500.00,37000.00,35220.00,35840.00,164624517140,4593242,3084,D,35870.00,35470.00
Techinco,20200615,37000.00,37000.00,34110.00,35870.00,122910309010,3426498,2390,D,35670.00,35990.00
Techinco,20200614,38000.00,38000.00,35150.00,35670.00,175288200710,4913717,2680,D,37000.00,36100.00
Techinco,20200613,36380.00,37300.00,35500.00,37000.00,127240913150,3438927,2093,D,35526.00,37300.00
Techinco,20200610,37299.00,37797.00,34249.00,35526.00,255964739767,7205009,4650,D,36051.00,36500.00
Techinco,20200609,35000.00,36302.00,34598.00,36051.00,116688945766,3236769,2145,D,34574.00,36302.00
Techinco,20200608,34699.00,34699.00,31395.00,34574.00,186807931018,5403205,2797,D,33047.00,34588.00
Techinco,20200607,33823.00,33823.00,33823.00,33047.00,27791716463,821681,375,D,32213.00,33823.00
Techinco,20200606,33117.00,33117.00,33117.00,32213.00,22417559640,676920,372,D,31540.00,33117.00
Techinco,20200602,32290.00,32290.00,32290.00,31540.00,29503211550,913695,427,D,30753.00,32290.00
Techinco,20200601,28300.00,30887.00,28300.00,30753.00,77376066112,2516064,1070,D,29417.00,30887.00
Techinco,20200531,30499.00,30499.00,27701.00,29417.00,52746373801,1793029,1619,D,29047.00,28632.00
Techinco,20200530,29399.00,29422.00,28950.00,29047.00,39083371219,1329455,995,D,28021.00,29422.00
Techinco,20200527,26942.00,29000.00,26942.00,28021.00,77324451081,2759497,2266,D,28360.00,28900.00
Techinco,20200526,27246.00,28266.00,27246.00,28360.00,10231853856,375536,325,D,28578.00,27246.00
Techinco,20200523,28266.00,28972.00,28266.00,28680.00,34326288652,1214332,787,D,29753.00,28266.00
Techinco,20200520,31960.00,31960.00,29434.00,29753.00,60331339919,2027711,1282,D,30983.00,29449.00
Techinco,20200519,31900.00,31903.00,29689.00,30983.00,60796480159,1962245,1729,D,30384.00,30730.00
Techinco,20200518,29700.00,30483.00,29533.00,30384.00,81255310492,2674252,1463,D,29032.00,30483.00
Techinco,20200517,28805.00,30089.00,28805.00,29032.00,87162039529,3002267,2106,D,30321.00,28830.00
Techinco,20200516,32493.00,32493.00,29708.00,30321.00,40494981535,1343563,925,D,31271.00,29708.00
Techinco,20200513,31123.00,32016.00,31123.00,31271.00,143565589060,4590979,2703,D,32761.00,31123.00
Techinco,20200512,31973.00,31973.00,31973.00,32761.00,25634352750,801750,594,D,33655.00,31973.00
Techinco,20200511,34000.00,34629.00,33592.00,33655.00,57987969898,1723002,1383,D,35359.00,33592.00
Techinco,20200510,36472.00,36472.00,33101.00,35359.00,154877440853,4380094,3541,D,34736.00,34425.00
Techinco,20200509,34321.00,34818.00,34220.00,34736.00,69672067811,2005787,1291,D,33160.00,34818.00
Techinco,20200506,32868.00,34300.00,32868.00,33160.00,136454608661,4115001,2651,D,34597.00,32940.00
Techinco,20200505,36869.00,36872.00,34071.00,34597.00,113102003441,3269166,2091,D,35864.00,34071.00
Techinco,20200504,36900.00,37098.00,35202.00,35864.00,213114889846,5942242,3573,D,37054.00,35202.00
Techinco,20200503,37054.00,37054.00,37054.00,37054.00,59899643700,1616550,1216,D,35290.00,37054.00
Techinco,20200502,35291.00,35293.00,35140.00,35290.00,100160820608,2838241,1649,D,33613.00,35293.00
Techinco,20200429,33450.00,33779.00,32171.00,33613.00,81505613355,2424831,1634,D,32171.00,33779.00
Techinco,20200428,30555.00,32414.00,30555.00,32171.00,186399447296,5793934,2899,D,30871.00,32414.00
Techinco,20200427,31558.00,32000.00,30554.00,30871.00,185551923372,6010635,4361,D,32162.00,30554.00
Techinco,20200426,33997.00,33997.00,31787.00,32162.00,259650308783,8073301,5322,D,33460.00,31808.00
Techinco,20200425,32000.00,34349.00,32000.00,33460.00,190101011991,5681461,4885,D,32798.00,33300.00
Techinco,20200422,33342.00,34364.00,32000.00,32798.00,159948567720,4876834,4010,D,33043.00,32300.00
Techinco,20200421,33340.00,33342.00,31900.00,33043.00,111661078862,3379215,2235,D,31755.00,33342.00
Techinco,20200420,30500.00,32296.00,30500.00,31755.00,147864830076,4656437,3088,D,30759.00,32296.00
Techinco,20200419,30999.00,31165.00,28451.00,30759.00,178003452512,5787115,3026,D,29681.00,29400.00
Techinco,20200418,29170.00,29787.00,29169.00,29681.00,96165159645,3239956,2295,D,28369.00,29787.00
Techinco,20200415,28393.00,28980.00,27700.00,28369.00,86661061543,3054796,2579,D,27780.00,28029.00
Techinco,20200414,26600.00,28690.00,26500.00,27780.00,104691472723,3768594,3251,D,27340.00,27828.00
Techinco,20200413,27010.00,27980.00,26820.00,27340.00,137588792935,5032548,2842,D,27010.00,27701.00
Techinco,20200412,26446.00,27698.00,26446.00,27010.00,200161733301,7410574,5357,D,27837.00,26948.00
Techinco,20200411,27816.00,28261.00,27816.00,27837.00,75981538235,2729517,1825,D,29280.00,27816.00
Techinco,20200408,30148.00,30148.00,27284.00,29280.00,82957736443,2833303,2600,D,28719.00,28200.00
Techinco,20200407,28820.00,28826.00,27801.00,28719.00,95303432710,3318537,2147,D,27454.00,28826.00
Techinco,20200406,27717.00,27717.00,26750.00,27454.00,71003041416,2586286,2097,D,26398.00,27717.00
Techinco,20200405,26728.00,26737.00,25600.00,26398.00,74944437679,2838972,2369,D,25464.00,26737.00
Techinco,20200404,24300.00,25847.00,24300.00,25464.00,101353745810,3980286,3131,D,24617.00,25847.00
Techinco,20200330,24551.00,25087.00,24548.00,24617.00,64649102644,2626194,2403,D,25840.00,24548.00
Techinco,20200329,26000.00,26404.00,23900.00,25840.00,56032849030,2168490,2158,D,25147.00,25000.00
Techinco,20200328,24599.00,25371.00,24292.00,25147.00,50657028091,2012189,1814,D,24163.00,25371.00
Techinco,20200325,24495.00,25016.00,23000.00,24163.00,64937398278,2687458,2947,D,23945.00,24599.00
