<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tosse.1.ETF,20200722,10100.00,10140.00,10100.00,10110.00,37073695430,3665224,181,D,10090.00,10130.00
Tosse.1.ETF,20200721,10100.00,10100.00,10080.00,10090.00,30452270630,3018323,160,D,10090.00,10080.00
Tosse.1.ETF,20200720,10090.00,10100.00,10070.00,10090.00,104393179240,10348690,361,D,10090.00,10080.00
Tosse.1.ETF,20200719,10100.00,10100.00,10070.00,10090.00,39570776810,3923720,166,D,10090.00,10090.00
Tosse.1.ETF,20200718,10090.00,10120.00,10080.00,10090.00,41604606920,4122279,193,D,10070.00,10090.00
Tosse.1.ETF,20200715,10070.00,10090.00,10050.00,10070.00,40232350610,3995082,150,D,10080.00,10070.00
Tosse.1.ETF,20200714,10070.00,10090.00,10060.00,10080.00,23880199080,2370038,140,D,10050.00,10080.00
Tosse.1.ETF,20200713,10050.00,10070.00,10040.00,10050.00,29108379330,2895834,150,D,10050.00,10050.00
Tosse.1.ETF,20200712,10050.00,10070.00,10050.00,10050.00,27242099850,2709624,148,D,10060.00,10050.00
Tosse.1.ETF,20200711,10060.00,10090.00,10050.00,10060.00,20162821030,2003547,128,D,10040.00,10060.00
Tosse.1.ETF,20200708,10040.00,10070.00,10040.00,10040.00,34577946110,3442639,182,D,10030.00,10050.00
Tosse.1.ETF,20200707,10020.00,10050.00,10020.00,10030.00,30816885020,3072171,212,D,10030.00,10030.00
Tosse.1.ETF,20200706,10010.00,10050.00,10010.00,10030.00,625833938410,62399073,340,D,10180.00,10030.00
Tosse.1.ETF,20200705,10210.00,10260.00,10150.00,10180.00,87120831140,8558759,312,D,10220.00,10190.00
Tosse.1.ETF,20200704,10190.00,10260.00,10190.00,10220.00,22474462800,2198664,139,D,10180.00,10260.00
Tosse.1.ETF,20200701,10170.00,10260.00,10170.00,10180.00,16426957850,1613260,90,D,10180.00,10190.00
Tosse.1.ETF,20200630,10180.00,10270.00,10170.00,10180.00,21902803280,2150799,133,D,10170.00,10200.00
Tosse.1.ETF,20200629,10160.00,10220.00,10160.00,10170.00,9049358240,889968,62,D,10160.00,10180.00
Tosse.1.ETF,20200628,10140.00,10250.00,10140.00,10160.00,11635835710,1145542,57,D,10140.00,10160.00
Tosse.1.ETF,20200627,10130.00,10180.00,10130.00,10140.00,20545830470,2025679,121,D,10130.00,10150.00
Tosse.1.ETF,20200624,10130.00,10160.00,10120.00,10130.00,9064436820,894801,52,D,10140.00,10150.00
Tosse.1.ETF,20200623,10120.00,10170.00,10120.00,10140.00,27691003760,2731837,134,D,10130.00,10160.00
Tosse.1.ETF,20200622,10110.00,10160.00,10100.00,10130.00,20321470520,2005593,99,D,10100.00,10160.00
Tosse.1.ETF,20200621,10100.00,10110.00,10090.00,10100.00,13338204440,1320155,85,D,10090.00,10110.00
Tosse.1.ETF,20200620,10100.00,10100.00,10070.00,10090.00,63726237540,6316813,205,D,10090.00,10070.00
Tosse.1.ETF,20200616,10080.00,10110.00,10080.00,10090.00,16059215770,1591550,73,D,10090.00,10100.00
Tosse.1.ETF,20200615,10070.00,10120.00,10070.00,10090.00,26039771660,2580139,100,D,10070.00,10090.00
Tosse.1.ETF,20200614,10060.00,10090.00,10060.00,10070.00,20863194370,2072144,91,D,10060.00,10080.00
Tosse.1.ETF,20200613,10060.00,10100.00,10050.00,10060.00,9272960040,921901,63,D,10036.00,10080.00
Tosse.1.ETF,20200610,10039.00,10076.00,10034.00,10036.00,58168535713,5795792,211,D,10038.00,10036.00
Tosse.1.ETF,20200609,10033.00,10067.00,10030.00,10038.00,10795562297,1075474,90,D,10023.00,10040.00
Tosse.1.ETF,20200608,10027.00,10027.00,10021.00,10023.00,163749656836,16337362,333,D,10021.00,10022.00
Tosse.1.ETF,20200607,10022.00,10045.00,10017.00,10021.00,46799612120,4670313,224,D,10012.00,10035.00
Tosse.1.ETF,20200606,10013.00,10035.00,10008.00,10012.00,180133097412,17991998,478,D,10169.00,10010.00
Tosse.1.ETF,20200602,10163.00,10183.00,10160.00,10169.00,21697319704,2133619,196,D,10171.00,10168.00
Tosse.1.ETF,20200601,10225.00,10225.00,10160.00,10171.00,19331382230,1900662,99,D,10160.00,10168.00
Tosse.1.ETF,20200531,10225.00,10225.00,10150.00,10160.00,58287012948,5736772,170,D,10160.00,10153.00
Tosse.1.ETF,20200530,10193.00,10193.00,10151.00,10160.00,32154695299,3164897,121,D,10155.00,10162.00
Tosse.1.ETF,20200527,10140.00,10192.00,10140.00,10155.00,27625565659,2720468,86,D,10153.00,10192.00
Tosse.1.ETF,20200526,10146.00,10191.00,10140.00,10153.00,16819968317,1656694,65,D,10142.00,10185.00
Tosse.1.ETF,20200523,10200.00,10200.00,10134.00,10142.00,312718920587,30833608,682,D,10154.00,10140.00
