<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
VAMCO,20200722,42240.00,42240.00,41500.00,41290.00,30553599080,723681,862,D,40230.00,42240.00
VAMCO,20200721,40750.00,40750.00,39200.00,40230.00,44810713400,1105009,936,D,38810.00,40750.00
VAMCO,20200720,38000.00,39100.00,38000.00,38810.00,56164002240,1447023,1202,D,37240.00,39100.00
VAMCO,20200719,39500.00,39500.00,35820.00,37240.00,75898779250,2037985,1605,D,37660.00,36800.00
VAMCO,20200718,38600.00,38600.00,34940.00,37660.00,58109018120,1543092,1500,D,36770.00,37980.00
VAMCO,20200715,34900.00,38430.00,34770.00,36770.00,103236788910,2807790,1896,D,36600.00,38430.00
VAMCO,20200714,36280.00,38780.00,36280.00,36600.00,92257307930,2520403,1886,D,38180.00,36280.00
VAMCO,20200713,37530.00,38200.00,37530.00,38180.00,31987473480,852027,667,D,39500.00,37530.00
VAMCO,20200712,39980.00,39980.00,36180.00,39500.00,94381112730,2389602,1829,D,38080.00,38000.00
VAMCO,20200711,37470.00,40990.00,37470.00,38080.00,64964221070,1706036,1144,D,39440.00,37470.00
VAMCO,20200708,40420.00,40420.00,36600.00,39440.00,39819398800,999638,777,D,38500.00,37000.00
VAMCO,20200707,39700.00,39700.00,39700.00,38500.00,20602870800,518964,266,D,37810.00,39700.00
VAMCO,20200706,39450.00,39450.00,39450.00,37810.00,6926315400,175572,102,D,37580.00,39450.00
VAMCO,20200705,38820.00,38820.00,38820.00,37580.00,17948892840,462362,326,D,36980.00,38820.00
VAMCO,20200704,36990.00,36990.00,36500.00,36980.00,65131989030,1761397,971,D,35230.00,36990.00
VAMCO,20200701,36520.00,36520.00,36520.00,35230.00,14688526600,402205,156,D,34790.00,36520.00
VAMCO,20200630,36050.00,36050.00,36050.00,34790.00,15012625950,416439,252,D,34340.00,36050.00
VAMCO,20200629,34000.00,35700.00,32300.00,34340.00,85227251180,2482025,1163,D,31270.00,35700.00
VAMCO,20200622,32170.00,32170.00,31710.00,31270.00,22425375070,697168,276,D,30640.00,32170.00
VAMCO,20200621,31650.00,31650.00,31650.00,30640.00,17199781050,543437,214,D,30150.00,31650.00
VAMCO,20200620,31260.00,31260.00,31260.00,30150.00,13129731420,420017,248,D,29780.00,31260.00
VAMCO,20200616,31010.00,31010.00,31010.00,29780.00,8758960560,282456,126,D,29540.00,31010.00
VAMCO,20200615,30770.00,30770.00,30770.00,29540.00,8570521950,278535,108,D,29310.00,30770.00
VAMCO,20200614,30220.00,30220.00,30220.00,29310.00,19204870440,635502,305,D,28790.00,30220.00
VAMCO,20200613,29980.00,29980.00,29980.00,28790.00,8762524420,292279,175,D,28557.00,29980.00
VAMCO,20200610,29337.00,29337.00,29337.00,28557.00,24618730290,839170,242,D,27940.00,29337.00
VAMCO,20200609,26000.00,28467.00,26000.00,27940.00,36817794314,1299927,514,D,27112.00,28467.00
VAMCO,20200608,28632.00,28632.00,25906.00,27112.00,45212982949,1668998,896,D,27269.00,26301.00
VAMCO,20200607,28252.00,28252.00,28252.00,27269.00,14448553084,511417,283,D,26907.00,28252.00
VAMCO,20200606,26500.00,27630.00,26500.00,26907.00,29930231650,1094621,492,D,26315.00,27630.00
VAMCO,20200602,26582.00,26582.00,26375.00,26315.00,44513798705,1674935,515,D,25317.00,26582.00
VAMCO,20200601,26374.00,26374.00,26374.00,25317.00,8798762010,333615,144,D,25119.00,26374.00
VAMCO,20200531,25205.00,25205.00,23001.00,25119.00,64312921673,2560315,700,D,24005.00,25205.00
VAMCO,20200530,24840.00,24840.00,23470.00,24005.00,15483813650,623506,251,D,23658.00,24840.00
VAMCO,20200527,22118.00,24446.00,22118.00,23658.00,27251847102,1134463,657,D,23282.00,24446.00
VAMCO,20200526,24442.00,24442.00,22116.00,23282.00,59328532784,2548212,1056,D,23324.00,22790.00
VAMCO,20200523,21450.00,23502.00,21450.00,23279.00,49611691253,2127021,822,D,22383.00,23502.00
VAMCO,20200520,22106.00,23500.00,21903.00,22383.00,47367564175,2116202,1162,D,23047.00,22690.00
VAMCO,20200519,22961.00,24165.00,22957.00,23047.00,58949922546,2557784,1129,D,24165.00,22957.00
VAMCO,20200518,23920.00,25999.00,23920.00,24165.00,43520152427,1807555,998,D,25178.00,23920.00
VAMCO,20200517,24129.00,24129.00,24129.00,25178.00,8216744886,340534,157,D,25398.00,24129.00
VAMCO,20200516,24185.00,24185.00,24185.00,25398.00,2187049550,90430,79,D,25457.00,24185.00
VAMCO,20200513,24477.00,26500.00,24477.00,25457.00,30879460623,1223452,833,D,25765.00,24477.00
VAMCO,20200512,27272.00,27272.00,24676.00,25765.00,64615110645,2507902,1211,D,25974.00,24700.00
VAMCO,20200511,26595.00,26595.00,26100.00,25974.00,28403538089,1068280,528,D,25329.00,26595.00
VAMCO,20200510,25893.00,25893.00,25176.00,25329.00,30075412217,1163060,714,D,24660.00,25893.00
VAMCO,20200509,25176.00,25176.00,24810.00,24660.00,29957871392,1190100,616,D,23978.00,25176.00
VAMCO,20200506,23790.00,24596.00,23400.00,23978.00,34695971625,1426874,725,D,23425.00,24596.00
VAMCO,20200505,24431.00,24431.00,22105.00,23425.00,52395245373,2236242,1145,D,23268.00,23529.00
VAMCO,20200504,21769.00,24050.00,21769.00,23268.00,66568315252,2860994,1463,D,22914.00,24040.00
VAMCO,20200503,23154.00,23154.00,22200.00,22914.00,42161295576,1821936,874,D,22052.00,23154.00
VAMCO,20200502,22818.00,22818.00,22818.00,22052.00,15457278288,677416,308,D,21732.00,22818.00
VAMCO,20200429,22224.00,22224.00,22000.00,21732.00,29595677160,1331832,522,D,21166.00,22224.00
VAMCO,20200428,21963.00,21963.00,21963.00,21166.00,12973302507,590689,213,D,20918.00,21963.00
VAMCO,20200427,21851.00,21851.00,21851.00,20918.00,5591452390,255890,91,D,20811.00,21851.00
VAMCO,20200426,21582.00,21582.00,21582.00,20811.00,13377300552,619836,195,D,20555.00,21582.00
VAMCO,20200425,21131.00,21131.00,21131.00,20555.00,22420667192,1061032,285,D,20125.00,21131.00
VAMCO,20200422,20717.00,20717.00,20717.00,20125.00,22992327393,1109829,251,D,19731.00,20717.00
VAMCO,20200421,20457.00,20457.00,20457.00,19731.00,14444667243,706099,144,D,19483.00,20457.00
VAMCO,20200420,19815.00,19919.00,19016.00,19483.00,30479944103,1531802,371,D,18971.00,19919.00
VAMCO,20200419,19016.00,19016.00,18912.00,18971.00,50178497928,2638800,582,D,18111.00,19016.00
VAMCO,20200418,18915.00,18915.00,18915.00,18111.00,5614180065,296811,134,D,18015.00,18915.00
VAMCO,20200415,18672.00,18672.00,18200.00,18015.00,15293993486,820014,376,D,17783.00,18672.00
VAMCO,20200414,17900.00,18057.00,16667.00,17783.00,43533098498,2426718,848,D,17198.00,18057.00
VAMCO,20200413,17737.00,17737.00,17737.00,17198.00,19677161745,1109385,343,D,16893.00,17737.00
VAMCO,20200412,16900.00,17370.00,16500.00,16893.00,33825491394,1979681,869,D,16543.00,17370.00
VAMCO,20200411,17080.00,17080.00,16000.00,16543.00,30153052034,1801845,1169,D,16271.00,16700.00
VAMCO,20200408,16500.00,16658.00,16158.00,16271.00,30708838218,1851214,1049,D,15865.00,16658.00
VAMCO,20200407,16345.00,16347.00,16300.00,15865.00,20606222908,1260773,831,D,15569.00,16347.00
VAMCO,20200406,15350.00,15967.00,15100.00,15569.00,37182210590,2366425,1165,D,15207.00,15967.00
VAMCO,20200405,15555.00,15555.00,14710.00,15207.00,27221731620,1789968,1060,D,15206.00,15300.00
VAMCO,20200404,15321.00,15408.00,14998.00,15206.00,31964949891,2097871,1311,D,15152.00,15240.00
VAMCO,20200330,14751.00,15500.00,14604.00,15152.00,20449459561,1377778,788,D,15372.00,15199.00
VAMCO,20200329,16098.00,16098.00,14950.00,15372.00,16732402534,1083113,876,D,15335.00,14999.00
VAMCO,20200328,15620.00,15829.00,15431.00,15335.00,24674826417,1579738,1146,D,15076.00,15829.00
VAMCO,20200325,14950.00,15500.00,14730.00,15076.00,18197746720,1193735,919,D,14981.00,15399.00
VAMCO,20200324,14997.00,14997.00,14335.00,14981.00,11820644311,805201,480,D,15077.00,14800.00
VAMCO,20200318,14602.00,15000.00,14601.00,15077.00,18816361471,1283920,742,D,15369.00,14710.00
