<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zamyad,20200722,32380.00,32380.00,32380.00,32380.00,514813797020,15899129,8991,D,34080.00,32380.00
Zamyad,20200721,34680.00,36190.00,32750.00,34080.00,5214618241440,153016332,69361,D,34470.00,32750.00
Zamyad,20200720,35900.00,37690.00,34110.00,34470.00,1819411997710,52775950,17319,D,28250.00,34110.00
Zamyad,20200714,28250.00,28250.00,28250.00,28250.00,550533175000,19487900,4734,D,26910.00,28250.00
Zamyad,20200713,26920.00,26920.00,25640.00,26910.00,1655670152120,61532697,16376,D,25640.00,26920.00
Zamyad,20200712,25640.00,25640.00,25640.00,25640.00,197676759280,7709702,1250,D,24420.00,25640.00
Zamyad,20200708,24420.00,24420.00,24420.00,24420.00,70927841160,2904498,277,D,23260.00,24420.00
Zamyad,20200707,23260.00,23260.00,23260.00,23260.00,98073231400,4216390,1048,D,22160.00,23260.00
Zamyad,20200706,22160.00,22160.00,22160.00,22160.00,89556737040,4041369,876,D,21110.00,22160.00
Zamyad,20200705,21110.00,21110.00,21110.00,21110.00,226662988630,10737233,2175,D,20110.00,21110.00
Zamyad,20200704,20160.00,20160.00,19400.00,20110.00,1759765609760,87505059,22468,D,19200.00,20160.00
Zamyad,20200701,19200.00,19200.00,19200.00,19200.00,122466163200,6378446,1950,D,18290.00,19200.00
Zamyad,20200630,18370.00,18370.00,18370.00,18290.00,51982323800,2829740,1294,D,17500.00,18370.00
Zamyad,20200629,17000.00,18360.00,16620.00,17500.00,1917392575500,109581002,20762,D,17490.00,18360.00
Zamyad,20200628,17720.00,17720.00,16040.00,17490.00,1622810600110,92780878,15967,D,16880.00,17690.00
Zamyad,20200627,16880.00,16880.00,16880.00,16880.00,183882904560,10893537,2677,D,16080.00,16880.00
Zamyad,20200624,16090.00,16090.00,15700.00,16080.00,631880704800,39297179,6076,D,15330.00,16090.00
Zamyad,20200621,15340.00,15340.00,14950.00,15330.00,309697823310,20202016,3074,D,14610.00,14950.00
Zamyad,20200620,14610.00,14610.00,14220.00,14610.00,631900274280,43262203,7097,D,13920.00,14610.00
Zamyad,20200616,13920.00,13920.00,13920.00,13920.00,236625509280,16998959,3284,D,13260.00,13920.00
Zamyad,20200615,13260.00,13260.00,13260.00,13260.00,219713651820,16569657,3191,D,12630.00,13260.00
Zamyad,20200614,12650.00,12650.00,12110.00,12630.00,914955428510,72441818,9898,D,12050.00,12650.00
Zamyad,20200613,12050.00,12050.00,12050.00,12050.00,103061999150,8552863,1741,D,11484.00,12050.00
Zamyad,20200610,11484.00,11484.00,11285.00,11484.00,264024586689,22990979,3188,D,10938.00,11484.00
Zamyad,20200609,10747.00,11284.00,10220.00,10938.00,787398448549,71990515,11384,D,10747.00,11284.00
Zamyad,20200608,10070.00,11130.00,10070.00,10747.00,1237837377969,115180548,16798,D,10600.00,10480.00
Zamyad,20200607,10610.00,10610.00,10050.00,10600.00,211503156706,19953753,3275,D,10105.00,10599.00
Zamyad,20200606,10091.00,10595.00,9587.00,10105.00,1686002848978,166847662,20075,D,10242.00,10595.00
Zamyad,20200601,10191.00,10191.00,10191.00,10242.00,39620600373,3887803,872,D,10727.00,10191.00
Zamyad,20200531,10508.00,10508.00,10508.00,10727.00,27225387360,2590920,784,D,11061.00,10508.00
Zamyad,20200530,11061.00,11061.00,11061.00,11061.00,148747841316,13447956,2709,D,11643.00,11061.00
Zamyad,20200523,11680.00,11706.00,11150.00,11643.00,1613620738967,138593153,17113,D,11149.00,11580.00
Zamyad,20200520,11149.00,11149.00,11149.00,11149.00,97550739770,8749730,967,D,10619.00,11149.00
Zamyad,20200519,10806.00,10806.00,10806.00,10619.00,36977494446,3421941,599,D,10292.00,10806.00
Zamyad,20200518,10296.00,10296.00,10296.00,10292.00,55007100720,5342570,579,D,9806.00,10296.00
Zamyad,20200517,9690.00,10204.00,9234.00,9806.00,2226422344777,227036727,24943,D,9719.00,10204.00
Zamyad,20200516,9748.00,9748.00,9334.00,9719.00,2645560913884,272210874,26528,D,9284.00,9748.00
Zamyad,20200513,9284.00,9284.00,9284.00,9284.00,108651459708,11703087,1120,D,8842.00,9284.00
Zamyad,20200512,8911.00,8911.00,8100.00,8842.00,2278362422954,257670971,21491,D,8487.00,8911.00
Zamyad,20200511,8535.00,8535.00,8535.00,8487.00,49463423205,5795363,470,D,8129.00,8535.00
Zamyad,20200510,8271.00,8271.00,8271.00,8129.00,34642909809,4188479,456,D,7878.00,8271.00
Zamyad,20200509,7995.00,7995.00,7995.00,7878.00,36312458520,4541896,451,D,7615.00,7995.00
Zamyad,20200506,7342.00,7709.00,7342.00,7615.00,128091204105,16821355,1021,D,6993.00,7709.00
Zamyad,20200503,7277.00,7277.00,7277.00,6993.00,9694179259,1332167,88,D,6931.00,7277.00
Zamyad,20200502,7100.00,7100.00,7100.00,6931.00,26301488500,3704435,482,D,6762.00,7100.00
Zamyad,20200429,6927.00,6927.00,6927.00,6762.00,30775587315,4442845,458,D,6598.00,6927.00
Zamyad,20200428,6763.00,6763.00,6763.00,6598.00,29349282892,4339684,417,D,6441.00,6763.00
Zamyad,20200427,6441.00,6441.00,6441.00,6441.00,273225506694,42419734,3762,D,6135.00,6441.00
Zamyad,20200426,6150.00,6150.00,5970.00,6135.00,406477518550,66259243,5936,D,5858.00,6150.00
Zamyad,20200425,5899.00,5899.00,5899.00,5858.00,44871150531,7606569,847,D,5619.00,5899.00
Zamyad,20200422,5619.00,5619.00,5619.00,5619.00,80445717108,14316732,1273,D,5352.00,5619.00
Zamyad,20200421,5250.00,5373.00,5240.00,5352.00,170895811193,31931371,2796,D,5118.00,5373.00
Zamyad,20200420,4980.00,5220.00,4900.00,5118.00,236895514619,46284524,5411,D,5027.00,5170.00
Zamyad,20200419,5137.00,5137.00,4700.00,5027.00,374048503302,74408687,8011,D,4893.00,4810.00
Zamyad,20200418,4893.00,4893.00,4876.00,4893.00,109961769151,22474138,2007,D,4660.00,4893.00
Zamyad,20200415,4400.00,4691.00,4400.00,4660.00,306766520317,65833308,5888,D,4468.00,4691.00
Zamyad,20200414,4413.00,4748.00,4413.00,4468.00,268115603523,60014381,7045,D,4645.00,4420.00
Zamyad,20200413,4670.00,4670.00,4437.00,4645.00,17327626777,3778932,371,D,4678.00,4600.00
Zamyad,20200408,4694.00,4694.00,4500.00,4678.00,289011411533,61786837,5286,D,4471.00,4599.00
Zamyad,20200407,4400.00,4491.00,4400.00,4471.00,118119855696,26421668,2626,D,4278.00,4491.00
Zamyad,20200406,4299.00,4378.00,4100.00,4278.00,263119611779,61498568,6938,D,4170.00,4378.00
Zamyad,20200405,4200.00,4235.00,4040.00,4170.00,228409690451,54778926,5874,D,4034.00,4235.00
Zamyad,20200404,4030.00,4040.00,3944.00,4034.00,158830512183,39371707,3774,D,3848.00,4040.00
Zamyad,20200330,3840.00,3935.00,3664.00,3848.00,273049441343,70965435,6203,D,3748.00,3935.00
Zamyad,20200329,3749.00,3749.00,3701.00,3748.00,141976375097,37876250,2594,D,3571.00,3749.00
Zamyad,20200328,3664.00,3664.00,3664.00,3571.00,24407933856,6661554,463,D,3490.00,3664.00
Zamyad,20200325,3522.00,3524.00,3470.00,3490.00,46409045335,13209302,1649,D,3357.00,3524.00
Zamyad,20200324,3349.00,3392.00,3190.00,3357.00,98327211147,29294300,3101,D,3231.00,3392.00
Zamyad,20200318,3219.00,3257.00,3151.00,3231.00,85864255870,26573946,3024,D,3102.00,3257.00
Zamyad,20200317,3179.00,3179.00,2992.00,3102.00,91027458053,29340680,3376,D,3069.00,3136.00
Zamyad,20200316,3038.00,3074.00,3001.00,3069.00,80464392449,26217025,2079,D,2928.00,3074.00
Zamyad,20200315,2907.00,3028.00,2907.00,2928.00,127880125081,43680252,4261,D,3060.00,2919.00
Zamyad,20200314,3120.00,3199.00,3028.00,3060.00,80704114694,26377612,2137,D,3187.00,3028.00
Zamyad,20200311,3137.00,3246.00,3100.00,3187.00,92051749477,28883965,3305,D,3092.00,3168.00
Zamyad,20200310,3010.00,3272.00,2989.00,3092.00,152261160720,49249654,4439,D,3137.00,3044.00
Zamyad,20200309,3127.00,3200.00,3127.00,3137.00,54699070640,17437903,1627,D,3291.00,3127.00
Zamyad,20200307,3308.00,3400.00,3270.00,3291.00,164259031149,49904323,5226,D,3442.00,3270.00
Zamyad,20200304,3550.00,3553.00,3360.00,3442.00,220901295184,64177150,6481,D,3416.00,3430.00
Zamyad,20200303,3423.00,3423.00,3350.00,3416.00,186431457204,54576353,4560,D,3260.00,3423.00
Zamyad,20200302,3249.00,3286.00,2980.00,3260.00,140478569739,43097033,3130,D,3130.00,3286.00
Zamyad,20200301,3050.00,3141.00,3010.00,3130.00,171691197051,54851349,4472,D,2992.00,3141.00
Zamyad,20200229,2980.00,3052.00,2949.00,2992.00,192504336688,64343683,5185,D,3104.00,2990.00
Zamyad,20200226,3260.00,3260.00,3030.00,3104.00,170153349027,54814335,6163,D,3186.00,3044.00
Zamyad,20200225,3160.00,3275.00,3088.00,3186.00,238607969343,74883830,6763,D,3127.00,3152.00
Zamyad,20200224,3210.00,3210.00,3001.00,3127.00,151861358207,48563869,5144,D,3096.00,3110.00
Zamyad,20200223,3049.00,3104.00,3002.00,3096.00,149732577027,48355618,4059,D,2957.00,3104.00
Zamyad,20200222,2869.00,3044.00,2869.00,2957.00,173186351619,58565683,4630,D,3020.00,2981.00
Zamyad,20200219,3029.00,3069.00,2950.00,3020.00,161698540452,53535402,5157,D,2930.00,3031.00
Zamyad,20200218,2810.00,2974.00,2760.00,2930.00,267941152310,91456677,7003,D,2833.00,2945.00
Zamyad,20200217,2960.00,2960.00,2751.00,2833.00,160494740886,56649047,4836,D,2895.00,2790.00
Zamyad,20200216,2869.00,2964.00,2816.00,2895.00,185134339452,63945273,5324,D,2826.00,2910.00
Zamyad,20200215,2970.00,2970.00,2812.00,2826.00,268965052770,95167154,7486,D,2959.00,2812.00
Zamyad,20200212,2999.00,3058.00,2870.00,2959.00,173546457304,58645072,5875,D,2944.00,2949.00
Zamyad,20200210,3070.00,3071.00,2930.00,2944.00,255893599870,86914629,5701,D,3084.00,2930.00
Zamyad,20200209,3050.00,3255.00,3000.00,3084.00,382380653034,123995881,10057,D,3140.00,3030.00
Zamyad,20200208,3200.00,3221.00,3118.00,3140.00,165617909659,52737336,4815,D,3282.00,3118.00
Zamyad,20200205,3195.00,3373.00,3100.00,3282.00,346335453735,105528300,7460,D,3213.00,3260.00
Zamyad,20200204,3377.00,3377.00,3057.00,3213.00,555414074470,172839719,12757,D,3217.00,3174.00
Zamyad,20200203,3217.00,3217.00,3217.00,3217.00,72675369246,22591038,1343,D,3064.00,3217.00
Zamyad,20200202,2921.00,3067.00,2921.00,3064.00,126526359112,41299300,2251,D,2782.00,3067.00
Zamyad,20200128,2800.00,2800.00,2740.00,2782.00,24324443506,8742839,405,D,2684.00,2750.00
Zamyad,20200127,2598.00,2728.00,2506.00,2684.00,145748299079,54293550,3184,D,2599.00,2728.00
Zamyad,20200126,2609.00,2609.00,2486.00,2599.00,381506607003,146770225,6526,D,2485.00,2590.00
Zamyad,20200125,2486.00,2487.00,2429.00,2485.00,40664996106,16363168,1067,D,2369.00,2487.00
Zamyad,20200122,2207.00,2397.00,2207.00,2369.00,190616646785,80453287,4062,D,2283.00,2397.00
Zamyad,20200121,2320.00,2341.00,2200.00,2283.00,147845821337,64758442,4427,D,2284.00,2249.00
Zamyad,20200120,2261.00,2333.00,2201.00,2284.00,163047974868,71389252,4583,D,2273.00,2300.00
Zamyad,20200119,2249.00,2359.00,2174.00,2273.00,176735509941,77744177,5550,D,2288.00,2255.00
Zamyad,20200118,2260.00,2300.00,2235.00,2288.00,173540985283,75843535,4639,D,2191.00,2246.00
Zamyad,20200115,2124.00,2220.00,2080.00,2191.00,129560648909,59137557,3236,D,2115.00,2220.00
Zamyad,20200114,2123.00,2125.00,2065.00,2115.00,155890793562,73722122,3783,D,2024.00,2125.00
Zamyad,20200113,2025.00,2025.00,2000.00,2024.00,118427878073,58518344,1961,D,1929.00,2025.00
Zamyad,20200112,1929.00,1929.00,1929.00,1929.00,42354156015,21956535,644,D,1838.00,1929.00
Zamyad,20200111,1838.00,1838.00,1838.00,1838.00,16404124268,8924986,236,D,1802.00,1838.00
