<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zarafshan.ETF,20200722,49550.00,52220.00,49550.00,51672.00,62612318873,1211732,775,D,49543.00,51720.00
Zarafshan.ETF,20200721,49600.00,51000.00,48300.00,49543.00,54041916777,1090814,833,D,51926.00,50054.00
Zarafshan.ETF,20200720,51200.00,52500.00,50500.00,51926.00,66449435289,1279685,996,D,56782.00,52001.00
Zarafshan.ETF,20200719,56801.00,57499.00,56154.00,56782.00,25208267048,443947,546,D,56154.00,56600.00
Zarafshan.ETF,20200718,55710.00,56700.00,55690.00,56154.00,32161006415,572730,612,D,55071.00,56700.00
Zarafshan.ETF,20200715,55520.00,55682.00,54280.00,55071.00,18801781784,341410,523,D,54280.00,55090.00
Zarafshan.ETF,20200714,55682.00,55682.00,52900.00,54280.00,47467415887,874491,795,D,55599.00,55540.00
Zarafshan.ETF,20200713,55540.00,56200.00,55212.00,55599.00,60713416220,1091993,776,D,54121.00,55682.00
Zarafshan.ETF,20200712,55500.00,55600.00,53000.00,54121.00,29319043091,541728,670,D,54971.00,54010.00
Zarafshan.ETF,20200711,54011.00,55250.00,54011.00,54971.00,41806320177,760511,898,D,53288.00,54831.00
Zarafshan.ETF,20200708,53111.00,54500.00,52712.00,53288.00,27268212059,511718,572,D,50212.00,53300.00
Zarafshan.ETF,20200707,51990.00,51990.00,49502.00,50212.00,89196813866,1776415,1460,D,53829.00,50990.00
Zarafshan.ETF,20200706,58000.00,58500.00,51200.00,53829.00,160133421641,2974877,2288,D,55503.00,52300.00
Zarafshan.ETF,20200705,54201.00,57000.00,53051.00,55503.00,104310732166,1879373,1560,D,50538.00,56900.00
Zarafshan.ETF,20200704,48920.00,51700.00,48920.00,50538.00,70518244090,1395341,1213,D,47012.00,51380.00
Zarafshan.ETF,20200701,46120.00,47479.00,46120.00,47012.00,41122681871,874727,528,D,45770.00,47190.00
Zarafshan.ETF,20200630,45050.00,46110.00,45050.00,45770.00,30664226079,669960,772,D,44518.00,46000.00
Zarafshan.ETF,20200629,44001.00,44990.00,43500.00,44518.00,60383004536,1356363,946,D,43138.00,43520.00
Zarafshan.ETF,20200628,42500.00,43700.00,42350.00,43138.00,40097253855,929517,657,D,41352.00,43470.00
Zarafshan.ETF,20200627,41874.00,42900.00,40050.00,41352.00,45337845098,1096389,853,D,41730.00,41900.00
Zarafshan.ETF,20200624,42950.00,42950.00,40700.00,41730.00,69635696135,1668706,766,D,42737.00,42001.00
Zarafshan.ETF,20200623,42800.00,43351.00,42100.00,42737.00,53082336896,1242069,1032,D,41344.00,42450.00
Zarafshan.ETF,20200622,40990.00,41600.00,40990.00,41344.00,97924746951,2368546,1167,D,39751.00,41200.00
