<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
dolar,20200722,1,204520,203410,203430,1,1,1,1,204430,1
dolar,20200721,1,226020,204410,204520,1,1,1,1,225920,1
dolar,20200720,1,231020,225910,226020,1,1,1,1,231020,1
dolar,20200719,1,231020,230910,230950,1,1,1,1,230980,1
dolar,20200718,1,231020,230910,230970,1,1,1,1,230930,1
dolar,20200715,1,229520,227410,229410,1,1,1,1,227480,1
dolar,20200714,1,227520,227410,227460,1,1,1,1,227430,1
dolar,20200713,1,227520,225410,227420,1,1,1,1,225460,1
dolar,20200712,1,225520,222410,225520,1,1,1,1,222520,1
dolar,20200711,1,222520,220410,222410,1,1,1,1,221930,1
dolar,20200708,1,222020,217410,222020,1,1,1,1,217460,1
dolar,20200707,1,218520,216410,217520,1,1,1,1,218450,1
dolar,20200706,1,218520,216410,218520,1,1,1,1,216460,1
dolar,20200705,1,216520,208910,216470,1,1,1,1,209020,1
dolar,20200704,1,209020,189410,208910,1,1,1,1,189470,1
dolar,20200701,1,189920,189410,189440,1,1,1,1,189850,1
dolar,20200630,1,190520,189810,189920,1,1,1,1,190440,1
dolar,20200629,1,190520,190410,190520,1,1,1,1,190520,1
dolar,20200628,1,190520,188410,190430,1,1,1,1,188520,1
dolar,20200627,1,188520,188410,188410,1,1,1,1,188520,1
dolar,20200624,1,195970,192910,193020,1,1,1,1,195890,1
dolar,20200623,1,195970,187910,195970,1,1,1,1,187930,1
dolar,20200622,1,188020,187910,188020,1,1,1,1,187910,1
dolar,20200621,1,188020,185910,188020,1,1,1,1,185950,1
dolar,20200620,1,186020,183410,186020,1,1,1,1,183490,1
dolar,20200616,1,182110,178800,182100,1,1,1,1,178850,1
dolar,20200615,1,178910,177500,178800,1,1,1,1,177530,1
dolar,20200614,1,177610,177500,177600,1,1,1,1,177600,1
dolar,20200613,1,177610,177500,177560,1,1,1,1,177550,1
dolar,20200610,1,172610,169300,172500,1,1,1,1,169350,1
dolar,20200609,1,169410,169300,169300,1,1,1,1,169360,1
dolar,20200608,1,169410,169300,169390,1,1,1,1,169300,1
dolar,20200607,1,169800,169300,169340,1,1,1,1,169800,1
dolar,20200606,1,170810,169800,169830,1,1,1,1,170800,1
dolar,20200602,1,170810,170700,170700,1,1,1,1,170700,1
dolar,20200601,1,171110,170700,170770,1,1,1,1,171080,1
dolar,20200531,1,171110,171000,171000,1,1,1,1,171000,1
dolar,20200530,1,171110,170500,171040,1,1,1,1,170500,1
dolar,20200527,1,173110,171500,171580,1,1,1,1,173100,1
dolar,20200526,1,173110,173000,173000,1,1,1,1,173040,1
dolar,20200523,1,173110,173000,173000,1,1,1,1,173020,1
dolar,20200520,1,173110,171500,173100,1,1,1,1,171550,1
dolar,20200519,1,172110,171500,171500,1,1,1,1,172040,1
