<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
geram18,20200722,1,9860000,9313000,9664000,1,1,1,1,9496000,1
geram18,20200721,1,9918000,9018000,9500000,1,1,1,1,9807000,1
geram18,20200720,1,10585000,9779000,9796000,1,1,1,1,10583000,1
geram18,20200719,1,11151000,10514000,10585000,1,1,1,1,11144000,1
geram18,20200718,1,10599000,10366000,10599000,1,1,1,1,10366000,1
geram18,20200715,1,10188000,9955000,10183000,1,1,1,1,9960000,1
geram18,20200714,1,9960000,9826000,9955000,1,1,1,1,9957000,1
geram18,20200713,1,9872000,9659000,9867000,1,1,1,1,9659000,1
geram18,20200712,1,9743000,9636000,9664000,1,1,1,1,9646000,1
geram18,20200711,1,9710000,9622000,9650000,1,1,1,1,9669000,1
geram18,20200708,1,9590000,9553000,9590000,1,1,1,1,9574000,1
geram18,20200707,1,9385000,9269000,9385000,1,1,1,1,9299000,1
geram18,20200706,1,9380000,9253000,9292000,1,1,1,1,9302000,1
geram18,20200705,1,9304000,9071000,9297000,1,1,1,1,9071000,1
geram18,20200704,1,9112000,8868000,9075000,1,1,1,1,8879000,1
geram18,20200701,1,8671000,8537000,8655000,1,1,1,1,8604000,1
geram18,20200630,1,8741000,8662000,8741000,1,1,1,1,8717000,1
geram18,20200629,1,8637000,8561000,8570000,1,1,1,1,8637000,1
geram18,20200628,1,8556000,8547000,8556000,1,1,1,1,8556000,1
geram18,20200627,1,8330000,8187000,8330000,1,1,1,1,8242000,1
geram18,20200624,1,8496000,8337000,8355000,1,1,1,1,8440000,1
geram18,20200623,1,8447000,8210000,8445000,1,1,1,1,8210000,1
geram18,20200622,1,8214000,8152000,8214000,1,1,1,1,8177000,1
geram18,20200621,1,8027000,7875000,8027000,1,1,1,1,7875000,1
geram18,20200620,1,7903000,7773000,7898000,1,1,1,1,7782000,1
geram18,20200616,1,7570000,7408000,7563000,1,1,1,1,7408000,1
geram18,20200615,1,7459000,7395000,7402000,1,1,1,1,7425000,1
geram18,20200614,1,7438000,7328000,7418000,1,1,1,1,7328000,1
geram18,20200613,1,7429000,7321000,7323000,1,1,1,1,7411000,1
geram18,20200610,1,7390000,7263000,7346000,1,1,1,1,7263000,1
geram18,20200609,1,7288000,7150000,7282000,1,1,1,1,7168000,1
geram18,20200608,1,7120000,7058000,7099000,1,1,1,1,7120000,1
geram18,20200607,1,7173000,7090000,7127000,1,1,1,1,7118000,1
geram18,20200606,1,7321000,7081000,7122000,1,1,1,1,7321000,1
geram18,20200602,1,7335000,7233000,7328000,1,1,1,1,7272000,1
geram18,20200601,1,7314000,7198000,7265000,1,1,1,1,7198000,1
geram18,20200531,1,7335000,7185000,7194000,1,1,1,1,7335000,1
geram18,20200530,1,7378000,7180000,7337000,1,1,1,1,7187000,1
geram18,20200527,1,7138000,6921000,6974000,1,1,1,1,7104000,1
geram18,20200526,1,7367000,7104000,7106000,1,1,1,1,7298000,1
geram18,20200523,1,7408000,7279000,7293000,1,1,1,1,7399000,1
geram18,20200520,1,7441000,7395000,7425000,1,1,1,1,7413000,1
geram18,20200519,1,7434000,7173000,7408000,1,1,1,1,7205000,1
geram18,20200518,1,7436000,7159000,7210000,1,1,1,1,7159000,1
geram18,20200517,1,7219000,7071000,7152000,1,1,1,1,7071000,1
geram18,20200516,1,7076000,6850000,7069000,1,1,1,1,6850000,1
geram18,20200513,1,7023000,6866000,6901000,1,1,1,1,6866000,1
geram18,20200512,1,6917000,6757000,6873000,1,1,1,1,6757000,1
geram18,20200511,1,6757000,6660000,6753000,1,1,1,1,6672000,1
geram18,20200510,1,6679000,6624000,6665000,1,1,1,1,6637000,1
geram18,20200509,1,6624000,6501000,6614000,1,1,1,1,6522000,1
geram18,20200506,1,6529000,6469000,6480000,1,1,1,1,6499000,1
geram18,20200505,1,6476000,6416000,6453000,1,1,1,1,6457000,1
geram18,20200504,1,6480000,6400000,6460000,1,1,1,1,6402000,1
geram18,20200503,1,6409000,6333000,6393000,1,1,1,1,6347000,1
geram18,20200502,1,6407000,6316000,6349000,1,1,1,1,6393000,1
geram18,20200429,1,6467000,6388000,6407000,1,1,1,1,6423000,1
geram18,20200428,1,6416000,6351000,6383000,1,1,1,1,6377000,1
geram18,20200427,1,6383000,6305000,6379000,1,1,1,1,6360000,1
geram18,20200426,1,6575000,6356000,6370000,1,1,1,1,6524000,1
geram18,20200425,1,6547000,6323000,6520000,1,1,1,1,6453000,1
geram18,20200422,1,6547000,6307000,6545000,1,1,1,1,6307000,1
geram18,20200421,1,6289000,6118000,6268000,1,1,1,1,6118000,1
geram18,20200420,1,6143000,6056000,6116000,1,1,1,1,6099000,1
geram18,20200419,1,6109000,5880000,6104000,1,1,1,1,5996000,1
geram18,20200418,1,6453000,5972000,5989000,1,1,1,1,6286000,1
geram18,20200415,1,6411000,6353000,6363000,1,1,1,1,6402000,1
geram18,20200414,1,6446000,6370000,6400000,1,1,1,1,6409000,1
geram18,20200413,1,6448000,6367000,6411000,1,1,1,1,6434000,1
geram18,20200412,1,6520000,6427000,6437000,1,1,1,1,6490000,1
geram18,20200411,1,6494000,6282000,6450000,1,1,1,1,6353000,1
geram18,20200408,1,6487000,6319000,6326000,1,1,1,1,6487000,1
geram18,20200407,1,6591000,6448000,6483000,1,1,1,1,6561000,1
geram18,20200406,1,6598000,6527000,6534000,1,1,1,1,6554000,1
geram18,20200405,1,6603000,6508000,6543000,1,1,1,1,6540000,1
geram18,20200404,1,6559000,6367000,6527000,1,1,1,1,6367000,1
geram18,20200331,1,6473000,6344000,6390000,1,1,1,1,6381000,1
geram18,20200330,1,6469000,6240000,6388000,1,1,1,1,6367000,1
geram18,20200329,1,6386000,6252000,6374000,1,1,1,1,6259000,1
geram18,20200328,1,6231000,6148000,6213000,1,1,1,1,6180000,1
geram18,20200325,1,6203000,6146000,6178000,1,1,1,1,6192000,1
geram18,20200318,1,6127000,6014000,6026000,1,1,1,1,6083000,1
geram18,20200317,1,6153000,5882000,6095000,1,1,1,1,5899000,1
geram18,20200316,1,6171000,5882000,5889000,1,1,1,1,5989000,1
geram18,20200315,1,6007000,5804000,5975000,1,1,1,1,5820000,1
geram18,20200314,1,5908000,5642000,5818000,1,1,1,1,5908000,1
geram18,20200311,1,6079000,5929000,5929000,1,1,1,1,6074000,1
geram18,20200310,1,6123000,6030000,6079000,1,1,1,1,6053000,1
geram18,20200309,1,6093000,6030000,6058000,1,1,1,1,6065000,1
geram18,20200307,1,6042000,5986000,6030000,1,1,1,1,5986000,1
geram18,20200304,1,6028000,5919000,5982000,1,1,1,1,5984000,1
geram18,20200303,1,5998000,5864000,5989000,1,1,1,1,5922000,1
geram18,20200302,1,6097000,5841000,5929000,1,1,1,1,6060000,1
geram18,20200301,1,6021000,5746000,5993000,1,1,1,1,5769000,1
geram18,20200229,1,5816000,5550000,5742000,1,1,1,1,5767000,1
geram18,20200226,1,6305000,6178000,6250000,1,1,1,1,6284000,1
geram18,20200225,1,6365000,6162000,6289000,1,1,1,1,6243000,1
geram18,20200224,1,6319000,5991000,6286000,1,1,1,1,5991000,1
geram18,20200223,1,6224000,5912000,5986000,1,1,1,1,5977000,1
geram18,20200222,1,6307000,5490000,5972000,1,1,1,1,5490000,1
geram18,20200219,1,5490000,5370000,5483000,1,1,1,1,5416000,1
geram18,20200218,1,5414000,5347000,5409000,1,1,1,1,5354000,1
geram18,20200217,1,5377000,5287000,5365000,1,1,1,1,5328000,1
geram18,20200216,1,5342000,5250000,5333000,1,1,1,1,5308000,1
geram18,20200215,1,5315000,5176000,5303000,1,1,1,1,5176000,1
geram18,20200212,1,5220000,5176000,5220000,1,1,1,1,5197000,1
geram18,20200210,1,5204000,5171000,5192000,1,1,1,1,5171000,1
geram18,20200209,1,5185000,5151000,5169000,1,1,1,1,5160000,1
geram18,20200208,1,5144000,5072000,5137000,1,1,1,1,5074000,1
geram18,20200205,1,5074000,5028000,5070000,1,1,1,1,5037000,1
geram18,20200204,1,5118000,5033000,5040000,1,1,1,1,5107000,1
geram18,20200203,1,5123000,5065000,5100000,1,1,1,1,5102000,1
geram18,20200202,1,5104000,5019000,5098000,1,1,1,1,5047000,1
geram18,20200201,1,5158000,5040000,5054000,1,1,1,1,5146000,1
geram18,20200128,1,5139000,5100000,5116000,1,1,1,1,5104000,1
geram18,20200127,1,5114000,5058000,5111000,1,1,1,1,5065000,1
geram18,20200126,1,5068000,5028000,5056000,1,1,1,1,5033000,1
geram18,20200125,1,5047000,5007000,5037000,1,1,1,1,5031000,1
geram18,20200122,1,4994000,4929000,4971000,1,1,1,1,4931000,1
geram18,20200121,1,4991000,4915000,4934000,1,1,1,1,4975000,1
geram18,20200120,1,4998000,4947000,4977000,1,1,1,1,4973000,1
geram18,20200119,1,4982000,4920000,4975000,1,1,1,1,4927000,1
geram18,20200118,1,4975000,4922000,4924000,1,1,1,1,4952000,1
geram18,20200115,1,4991000,4931000,4959000,1,1,1,1,4931000,1
geram18,20200114,1,4945000,4832000,4922000,1,1,1,1,4915000,1
geram18,20200113,1,4938000,4876000,4908000,1,1,1,1,4890000,1
geram18,20200112,1,4901000,4807000,4892000,1,1,1,1,4814000,1
geram18,20200111,1,4904000,4772000,4809000,1,1,1,1,4809000,1
geram18,20200108,1,5162000,5003000,5035000,1,1,1,1,5063000,1
geram18,20200107,1,5111000,4989000,5065000,1,1,1,1,5040000,1
geram18,20200106,1,5169000,5012000,5035000,1,1,1,1,5012000,1
geram18,20200105,1,5114000,4929000,5019000,1,1,1,1,4931000,1
geram18,20200104,1,4975000,4927000,4927000,1,1,1,1,4975000,1
geram18,20200101,1,4786000,4726000,4754000,1,1,1,1,4786000,1
geram18,20191231,1,4788000,4689000,4772000,1,1,1,1,4689000,1
geram18,20191230,1,4694000,4659000,4694000,1,1,1,1,4677000,1
geram18,20191229,1,4714000,4657000,4663000,1,1,1,1,4705000,1
geram18,20191228,1,4728000,4677000,4698000,1,1,1,1,4700000,1
geram18,20191225,1,4687000,4622000,4682000,1,1,1,1,4645000,1
geram18,20191224,1,4684000,4599000,4638000,1,1,1,1,4640000,1
geram18,20191223,1,4659000,4564000,4638000,1,1,1,1,4610000,1
