<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
oil_opec,20200722,1,44.29,44.29,44.29,1,1,1,1,44.29,1
oil_opec,20200721,1,43.03,43.03,43.03,1,1,1,1,43.03,1
oil_opec,20200720,1,43.22,43.22,43.22,1,1,1,1,43.22,1
oil_opec,20200715,1,43.02,43.02,43.02,1,1,1,1,43.02,1
oil_opec,20200714,1,43.38,43.38,43.38,1,1,1,1,43.38,1
oil_opec,20200713,1,43.46,43.46,43.46,1,1,1,1,43.46,1
oil_opec,20200708,1,43.15,43.15,43.15,1,1,1,1,43.15,1
oil_opec,20200707,1,43.54,43.54,43.54,1,1,1,1,43.54,1
oil_opec,20200706,1,42.93,42.93,42.93,1,1,1,1,42.93,1
oil_opec,20200701,1,38.22,38.22,38.22,1,1,1,1,38.22,1
oil_opec,20200630,1,37.33,37.33,37.33,1,1,1,1,37.33,1
oil_opec,20200629,1,37.99,37.99,37.99,1,1,1,1,37.99,1
oil_opec,20200624,1,39.85,39.85,39.85,1,1,1,1,39.85,1
oil_opec,20200623,1,38.96,38.96,38.96,1,1,1,1,38.96,1
oil_opec,20200622,1,39.45,39.45,39.45,1,1,1,1,39.45,1
oil_opec,20200617,1,36.75,36.75,36.75,1,1,1,1,36.75,1
oil_opec,20200616,1,35.09,35.09,35.09,1,1,1,1,35.09,1
oil_opec,20200615,1,35.06,35.06,35.06,1,1,1,1,35.06,1
oil_opec,20200610,1,37.09,37.09,37.09,1,1,1,1,37.09,1
oil_opec,20200609,1,38.89,38.89,38.89,1,1,1,1,38.89,1
oil_opec,20200608,1,36.83,36.83,36.83,1,1,1,1,36.83,1
oil_opec,20200603,1,34.95,34.95,34.95,1,1,1,1,34.95,1
oil_opec,20200602,1,33.68,33.68,33.68,1,1,1,1,33.68,1
oil_opec,20200527,1,29.75,29.75,29.75,1,1,1,1,29.75,1
oil_opec,20200526,1,28.06,28.06,28.06,1,1,1,1,28.06,1
oil_opec,20200520,1,28.43,28.43,28.43,1,1,1,1,28.43,1
oil_opec,20200519,1,28.21,28.21,28.21,1,1,1,1,28.21,1
oil_opec,20200518,1,26.54,26.54,26.54,1,1,1,1,26.54,1
oil_opec,20200513,1,22.83,22.83,22.83,1,1,1,1,22.83,1
oil_opec,20200512,1,22.71,22.71,22.71,1,1,1,1,22.71,1
oil_opec,20200511,1,22.21,22.21,22.21,1,1,1,1,22.21,1
oil_opec,20200506,1,21.44,21.44,21.44,1,1,1,1,21.44,1
oil_opec,20200505,1,18.36,18.36,18.36,1,1,1,1,18.36,1
oil_opec,20200504,1,16.52,16.52,16.52,1,1,1,1,16.52,1
oil_opec,20200429,1,12.41,12.41,12.41,1,1,1,1,12.41,1
oil_opec,20200428,1,13.3,13.3,13.3,1,1,1,1,13.3,1
oil_opec,20200427,1,14.31,14.31,14.31,1,1,1,1,14.31,1
oil_opec,20200422,1,14.63,14.63,14.63,1,1,1,1,14.63,1
oil_opec,20200421,1,14.19,14.19,14.19,1,1,1,1,14.19,1
oil_opec,20200420,1,18.16,18.16,18.16,1,1,1,1,18.16,1
oil_opec,20200415,1,19.7,19.7,19.7,1,1,1,1,19.7,1
oil_opec,20200414,1,21.18,21.18,21.18,1,1,1,1,21.18,1
oil_opec,20200408,1,22.67,22.67,22.67,1,1,1,1,22.67,1
oil_opec,20200407,1,23.48,23.48,23.48,1,1,1,1,23.48,1
oil_opec,20200406,1,23.01,23.01,23.01,1,1,1,1,23.01,1
oil_opec,20200401,1,22.61,22.61,22.61,1,1,1,1,22.61,1
oil_opec,20200331,1,21.66,21.66,21.66,1,1,1,1,21.66,1
