<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
price_eur,20200722,1,234520,233410,233520,1,1,1,1,234480,1
price_eur,20200721,1,251020,234410,234520,1,1,1,1,250970,1
price_eur,20200720,1,254020,250910,251020,1,1,1,1,253940,1
price_eur,20200719,1,254020,253910,254020,1,1,1,1,253960,1
price_eur,20200718,1,254020,253910,254020,1,1,1,1,254020,1
price_eur,20200715,1,252520,250410,252520,1,1,1,1,250410,1
price_eur,20200714,1,250520,250410,250520,1,1,1,1,250520,1
price_eur,20200713,1,250520,248410,250450,1,1,1,1,248500,1
price_eur,20200712,1,248520,245410,248520,1,1,1,1,245480,1
price_eur,20200711,1,245520,243410,245520,1,1,1,1,244020,1
price_eur,20200708,1,244020,242410,244020,1,1,1,1,242490,1
price_eur,20200707,1,242520,241410,242470,1,1,1,1,242020,1
price_eur,20200706,1,242020,239910,241990,1,1,1,1,240000,1
price_eur,20200705,1,240020,232910,240020,1,1,1,1,233000,1
price_eur,20200704,1,233020,210910,233020,1,1,1,1,210930,1
price_eur,20200701,1,211020,210910,211000,1,1,1,1,210970,1
price_eur,20200630,1,211020,210910,211020,1,1,1,1,211020,1
price_eur,20200629,1,211020,210910,210990,1,1,1,1,210990,1
price_eur,20200628,1,211020,209410,211020,1,1,1,1,209470,1
price_eur,20200627,1,209520,209410,209520,1,1,1,1,209520,1
price_eur,20200624,1,216970,213910,214020,1,1,1,1,216930,1
price_eur,20200623,1,216970,208910,216970,1,1,1,1,209020,1
price_eur,20200622,1,209020,208910,208940,1,1,1,1,208980,1
price_eur,20200621,1,209020,205910,209020,1,1,1,1,206000,1
price_eur,20200620,1,206020,203410,206020,1,1,1,1,203470,1
price_eur,20200616,1,202110,198800,202020,1,1,1,1,198840,1
price_eur,20200615,1,198910,197500,198830,1,1,1,1,197580,1
price_eur,20200614,1,197610,197500,197600,1,1,1,1,197580,1
price_eur,20200613,1,197610,197500,197590,1,1,1,1,197500,1
price_eur,20200610,1,189110,186000,189000,1,1,1,1,186100,1
price_eur,20200609,1,186110,186000,186000,1,1,1,1,186000,1
price_eur,20200608,1,186110,186000,186040,1,1,1,1,186050,1
price_eur,20200607,1,186110,186000,186000,1,1,1,1,186030,1
price_eur,20200606,1,186110,186000,186000,1,1,1,1,186050,1
price_eur,20200602,1,186110,186000,186000,1,1,1,1,186000,1
price_eur,20200601,1,186110,186000,186060,1,1,1,1,186060,1
price_eur,20200531,1,186110,186000,186000,1,1,1,1,186100,1
price_eur,20200530,1,186110,185500,186000,1,1,1,1,185560,1
price_eur,20200527,1,188100,186500,186560,1,1,1,1,188000,1
price_eur,20200526,1,188110,188000,188020,1,1,1,1,188020,1
price_eur,20200523,1,188110,188000,188070,1,1,1,1,188090,1
price_eur,20200520,1,188110,186000,188110,1,1,1,1,186100,1
price_eur,20200519,1,186110,186000,186000,1,1,1,1,186030,1
price_eur,20200518,1,186110,184200,186000,1,1,1,1,184260,1
price_eur,20200517,1,184310,182000,184300,1,1,1,1,182000,1
price_eur,20200516,1,182610,182000,182090,1,1,1,1,182590,1
price_eur,20200513,1,182610,180000,182500,1,1,1,1,180000,1
price_eur,20200512,1,180110,179000,180100,1,1,1,1,179030,1
price_eur,20200511,1,179110,176000,179000,1,1,1,1,176100,1
price_eur,20200510,1,176110,172000,176090,1,1,1,1,172000,1
price_eur,20200509,1,172110,171000,172030,1,1,1,1,171020,1
price_eur,20200506,1,171110,171000,171040,1,1,1,1,171000,1
price_eur,20200505,1,171110,171000,171030,1,1,1,1,171030,1
price_eur,20200504,1,171110,170000,171000,1,1,1,1,170100,1
price_eur,20200503,1,170110,170000,170000,1,1,1,1,170030,1
price_eur,20200502,1,170110,170000,170000,1,1,1,1,170000,1
price_eur,20200429,1,169610,169500,169500,1,1,1,1,169500,1
price_eur,20200428,1,170110,169500,169530,1,1,1,1,170080,1
price_eur,20200427,1,170110,170000,170000,1,1,1,1,170100,1
price_eur,20200426,1,170110,169000,170000,1,1,1,1,169060,1
price_eur,20200425,1,169110,169000,169000,1,1,1,1,169040,1
price_eur,20200422,1,169110,167500,169110,1,1,1,1,167580,1
price_eur,20200421,1,167610,166500,167500,1,1,1,1,166540,1
price_eur,20200420,1,166610,166500,166500,1,1,1,1,166500,1
price_eur,20200419,1,167610,166500,166570,1,1,1,1,167500,1
price_eur,20200418,1,169110,167500,167520,1,1,1,1,169060,1
price_eur,20200415,1,170110,170000,170000,1,1,1,1,170000,1
price_eur,20200414,1,170110,170000,170050,1,1,1,1,170020,1
price_eur,20200413,1,170110,169990,170000,1,1,1,1,170090,1
price_eur,20200412,1,170100,169990,169990,1,1,1,1,170090,1
price_eur,20200411,1,170100,169990,169990,1,1,1,1,169990,1
price_eur,20200408,1,171100,169990,170080,1,1,1,1,171050,1
price_eur,20200407,1,171100,170990,170990,1,1,1,1,171090,1
price_eur,20200406,1,172100,170990,170990,1,1,1,1,172010,1
price_eur,20200405,1,172100,171990,172100,1,1,1,1,172080,1
price_eur,20200404,1,173100,171990,171990,1,1,1,1,172990,1
price_eur,20200318,1,174600,168990,169030,1,1,1,1,174540,1
price_eur,20200317,1,174600,174490,174520,1,1,1,1,174490,1
price_eur,20200316,1,173500,166990,173500,1,1,1,1,166990,1
price_eur,20200315,1,167100,166990,167060,1,1,1,1,167070,1
price_eur,20200314,1,167100,166990,166990,1,1,1,1,167040,1
price_eur,20200311,1,167100,166990,166990,1,1,1,1,167000,1
price_eur,20200310,1,168100,167990,167990,1,1,1,1,168060,1
price_eur,20200309,1,168100,167990,168100,1,1,1,1,168000,1
price_eur,20200307,1,165100,164990,164990,1,1,1,1,165050,1
price_eur,20200304,1,167100,166990,166990,1,1,1,1,167020,1
price_eur,20200303,1,167110,166490,166550,1,1,1,1,166990,1
price_eur,20200302,1,169610,169490,169490,1,1,1,1,169570,1
price_eur,20200301,1,164610,163490,164590,1,1,1,1,163490,1
price_eur,20200229,1,169610,161990,162110,1,1,1,1,169490,1
price_eur,20200226,1,169110,158990,169090,1,1,1,1,158990,1
price_eur,20200225,1,159110,157990,159020,1,1,1,1,157990,1
price_eur,20200224,1,158110,157990,158030,1,1,1,1,158090,1
price_eur,20200223,1,158110,155790,157990,1,1,1,1,155840,1
price_eur,20200222,1,155910,153990,155790,1,1,1,1,154010,1
price_eur,20200219,1,154110,153990,153990,1,1,1,1,153990,1
price_eur,20200218,1,154110,151990,154110,1,1,1,1,152080,1
price_eur,20200217,1,152110,151990,152110,1,1,1,1,152040,1
price_eur,20200216,1,152110,151490,151990,1,1,1,1,151550,1
price_eur,20200215,1,151610,151490,151490,1,1,1,1,151600,1
price_eur,20200212,1,151120,151000,151000,1,1,1,1,151060,1
price_eur,20200210,1,152110,150000,151120,1,1,1,1,150040,1
price_eur,20200209,1,150120,150000,150000,1,1,1,1,150000,1
price_eur,20200208,1,150120,150000,150090,1,1,1,1,150040,1
price_eur,20200205,1,149620,149360,149580,1,1,1,1,149360,1
price_eur,20200204,1,149420,148800,149380,1,1,1,1,148860,1
