<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
sekeb,20200722,1,96000000,94000000,95000000,1,1,1,1,95000000,1
sekeb,20200721,1,98000000,95000000,97000000,1,1,1,1,96000000,1
sekeb,20200720,1,110000000,99000000,99000000,1,1,1,1,106000000,1
sekeb,20200719,1,110000000,107000000,108000000,1,1,1,1,109000000,1
sekeb,20200718,1,109000000,102500000,108000000,1,1,1,1,102500000,1
sekeb,20200715,1,102000000,102000000,102000000,1,1,1,1,102000000,1
sekeb,20200714,1,101000000,99000000,101000000,1,1,1,1,99000000,1
sekeb,20200713,1,100000000,98000000,100000000,1,1,1,1,98000000,1
sekeb,20200712,1,97000000,96950000,96950000,1,1,1,1,97000000,1
sekeb,20200711,1,97000000,95000000,97000000,1,1,1,1,95000000,1
sekeb,20200708,1,96000000,95000000,96000000,1,1,1,1,96000000,1
sekeb,20200707,1,94000000,91500000,94000000,1,1,1,1,91500000,1
sekeb,20200706,1,94000000,90000000,92000000,1,1,1,1,94000000,1
sekeb,20200704,1,95000000,88000000,95000000,1,1,1,1,88000000,1
sekeb,20200701,1,87500000,85000000,87500000,1,1,1,1,85000000,1
sekeb,20200630,1,86500000,85500000,86500000,1,1,1,1,86000000,1
sekeb,20200629,1,85000000,84000000,84500000,1,1,1,1,85000000,1
sekeb,20200628,1,84800000,84000000,84500000,1,1,1,1,84500000,1
sekeb,20200627,1,83500000,81500000,83500000,1,1,1,1,81500000,1
sekeb,20200624,1,83500000,82000000,82000000,1,1,1,1,82500000,1
sekeb,20200623,1,84000000,81500000,81500000,1,1,1,1,83000000,1
sekeb,20200622,1,81000000,80000000,81000000,1,1,1,1,80000000,1
sekeb,20200621,1,79500000,77500000,79500000,1,1,1,1,77500000,1
sekeb,20200620,1,77500000,76500000,77000000,1,1,1,1,76500000,1
sekeb,20200616,1,74000000,74000000,74000000,1,1,1,1,74000000,1
sekeb,20200615,1,73500000,73000000,73500000,1,1,1,1,73000000,1
sekeb,20200614,1,73500000,73500000,73500000,1,1,1,1,73500000,1
sekeb,20200613,1,73000000,73000000,73000000,1,1,1,1,73000000,1
sekeb,20200610,1,73000000,72500000,73000000,1,1,1,1,72500000,1
sekeb,20200609,1,72150000,71000000,72000000,1,1,1,1,71000000,1
sekeb,20200608,1,70000000,70000000,70000000,1,1,1,1,70000000,1
sekeb,20200607,1,70500000,70500000,70500000,1,1,1,1,70500000,1
sekeb,20200606,1,71000000,70000000,71000000,1,1,1,1,70500000,1
sekeb,20200602,1,72000000,72000000,72000000,1,1,1,1,72000000,1
sekeb,20200601,1,72500000,72000000,72500000,1,1,1,1,72000000,1
sekeb,20200531,1,71500000,71000000,71500000,1,1,1,1,71000000,1
sekeb,20200530,1,72500000,71500000,71500000,1,1,1,1,72000000,1
sekeb,20200527,1,71000000,69000000,70000000,1,1,1,1,71000000,1
sekeb,20200526,1,72000000,71500000,71500000,1,1,1,1,72000000,1
sekeb,20200523,1,73500000,73000000,73000000,1,1,1,1,73200000,1
sekeb,20200520,1,74000000,73500000,74000000,1,1,1,1,73500000,1
sekeb,20200519,1,73000000,71000000,73000000,1,1,1,1,71000000,1
sekeb,20200518,1,73500000,72000000,72000000,1,1,1,1,73000000,1
sekeb,20200517,1,72000000,71500000,72000000,1,1,1,1,71500000,1
sekeb,20200516,1,71000000,69500000,71000000,1,1,1,1,69500000,1
sekeb,20200513,1,69000000,67400000,67400000,1,1,1,1,69000000,1
sekeb,20200512,1,69000000,67500000,67500000,1,1,1,1,68000000,1
sekeb,20200511,1,67500000,66500000,67500000,1,1,1,1,66500000,1
sekeb,20200510,1,67000000,66000000,66000000,1,1,1,1,66000000,1
sekeb,20200509,1,67000000,65000000,67000000,1,1,1,1,65000000,1
sekeb,20200506,1,64500000,64500000,64500000,1,1,1,1,64500000,1
sekeb,20200504,1,64000000,63800000,64000000,1,1,1,1,63800000,1
sekeb,20200503,1,63500000,62990000,63500000,1,1,1,1,62990000,1
sekeb,20200502,1,63000000,63000000,63000000,1,1,1,1,63000000,1
sekeb,20200428,1,63500000,63000000,63500000,1,1,1,1,63000000,1
sekeb,20200427,1,63000000,62300000,62500000,1,1,1,1,62500000,1
sekeb,20200426,1,63500000,62800000,63000000,1,1,1,1,63500000,1
sekeb,20200425,1,63700000,62500000,63700000,1,1,1,1,63000000,1
sekeb,20200422,1,63300000,62300000,63300000,1,1,1,1,62500000,1
sekeb,20200421,1,61700000,60300000,61700000,1,1,1,1,60300000,1
sekeb,20200420,1,60250000,59000000,60000000,1,1,1,1,59500000,1
sekeb,20200419,1,60000000,57500000,60000000,1,1,1,1,58500000,1
sekeb,20200418,1,61500000,59000000,59000000,1,1,1,1,61300000,1
sekeb,20200415,1,62600000,62300000,62600000,1,1,1,1,62600000,1
sekeb,20200414,1,62800000,62500000,62800000,1,1,1,1,62700000,1
sekeb,20200413,1,63000000,62500000,62500000,1,1,1,1,63000000,1
sekeb,20200412,1,63500000,63200000,63200000,1,1,1,1,63500000,1
sekeb,20200411,1,63200000,61400000,63200000,1,1,1,1,61500000,1
sekeb,20200408,1,62500000,61800000,61800000,1,1,1,1,62500000,1
sekeb,20200407,1,63700000,62800000,62800000,1,1,1,1,63500000,1
sekeb,20200406,1,63720000,63720000,63720000,1,1,1,1,63720000,1
sekeb,20200405,1,64200000,63500000,63800000,1,1,1,1,63800000,1
sekeb,20200404,1,63500000,62200000,63500000,1,1,1,1,63000000,1
sekeb,20200330,1,63000000,61500000,63000000,1,1,1,1,61500000,1
sekeb,20200329,1,61800000,61200000,61800000,1,1,1,1,61200000,1
sekeb,20200328,1,60500000,60500000,60500000,1,1,1,1,60500000,1
sekeb,20200325,1,60200000,60000000,60200000,1,1,1,1,60200000,1
sekeb,20200317,1,60000000,59000000,59000000,1,1,1,1,59000000,1
sekeb,20200316,1,60000000,58000000,58500000,1,1,1,1,60000000,1
sekeb,20200315,1,58000000,57500000,58000000,1,1,1,1,57500000,1
sekeb,20200314,1,57500000,56000000,57500000,1,1,1,1,56000000,1
sekeb,20200311,1,59200000,59200000,59200000,1,1,1,1,59200000,1
sekeb,20200310,1,59150000,59150000,59150000,1,1,1,1,59150000,1
sekeb,20200307,1,59200000,58900000,59200000,1,1,1,1,59000000,1
sekeb,20200304,1,59300000,58200000,58300000,1,1,1,1,59300000,1
sekeb,20200303,1,58300000,57400000,58000000,1,1,1,1,58000000,1
sekeb,20200302,1,59900000,57800000,57900000,1,1,1,1,59500000,1
sekeb,20200301,1,58800000,55980000,58600000,1,1,1,1,56580000,1
sekeb,20200229,1,57030000,54580000,56470000,1,1,1,1,56200000,1
sekeb,20200226,1,60900000,59800000,60900000,1,1,1,1,59800000,1
sekeb,20200225,1,61000000,59300000,61000000,1,1,1,1,60000000,1
